E	P1	E	P2	E	P3	E	P4
	Fm-3m		Fd-3m		Fd-3m		Fm-3m
469.3635	0	466.4465	0	466.0465	0.0714631110880641	469.3635	0
469.4635	0	466.5465	0	466.1465	9.85929795904258E-4	469.4635	0
469.5635	0	466.6465	0	466.2465	-5.57611781635271E-4	469.5635	0
469.6635	0	466.7465	0.0116165013250125	466.3465	-0.0172711215110777	469.6635	0.0183485371371199
469.7635	0.00503350850505062	466.8465	0.00391759529698985	466.4465	-0.0120981680502079	469.7635	0.0178551947671562
469.8635	-0.00560453400287058	466.9465	0.0113031833411628	466.5465	-0.0359741551925912	469.8635	0.0136919694013145
469.9635	-0.0247285729354678	467.0465	0.0091089954156643	466.6465	-0.0484666567276404	469.9635	0.0122491467850509
470.0635	-0.035666083959103	467.1465	0.0103645682089773	466.7465	-0.0512811296783645	470.0635	0.0106132158427117
470.1635	-0.038597747143233	467.2465	0.0135209130900293	466.8465	-0.0527944996328846	470.1635	0.0122323431336175
470.2635	-0.0405274274926579	467.3465	0.0181170744674081	466.9465	-0.0645440579747722	470.2635	0.0123574195854577
470.3635	-0.0543073629537371	467.4465	0.0188588757528692	467.0465	-0.0708361097787054	470.3635	0.0121433515684776
470.4635	-0.0585383739516469	467.5465	0.0165317044984627	467.1465	-0.0733570023582599	470.4635	0.0114478551189173
470.5635	-0.0662117532557258	467.6465	0.00891130833394756	467.2465	-0.0637599748735131	470.5635	0.00155000795309184
470.6635	-0.0719911943417197	467.7465	0.00640919406922474	467.3465	-0.0624189989004216	470.6635	0.00250797839279566
470.7635	-0.0833352424046831	467.8465	9.47642013910784E-4	467.4465	-0.0526705024236689	470.7635	0.0071171655600762
470.8635	-0.0720105425960147	467.9465	0.00448844710105224	467.5465	-0.0399050449790043	470.8635	0.00766014309454898
470.9635	-0.0670221035393161	468.0465	0.00194574961007838	467.6465	-0.0291524613232419	470.9635	0.012988876937504
471.0635	-0.0464777661129195	468.1465	0.00561711812915767	467.7465	-0.0297050495753129	471.0635	0.0166465926682232
471.1635	-0.0486223352916185	468.2465	-0.00279797516046063	467.8465	-0.0195625875803028	471.1635	0.0219453663644746
471.2635	-0.0562298093894098	468.3465	-0.0136114956798549	467.9465	-0.025822435760695	471.2635	0.026971787242095
471.3635	-0.0566554400101731	468.4465	-0.023847645062833	468.0465	-0.0152092675723359	471.3635	0.0292038811851997
471.4635	-0.0411001077713595	468.5465	-0.0253272203923756	468.1465	-0.0110356720687042	471.4635	0.0353369781344395
471.5635	-0.0306989240243749	468.6465	-0.0250229942014236	468.2465	-0.00932463980851071	471.5635	0.039679086538232
471.6635	-0.01088838686597	468.7465	-0.0129925393170355	468.3465	0.00381282399555927	471.6635	0.0403349445107149
471.7635	-0.00599754756919056	468.8465	-0.0149342587256156	468.4465	0.0093286064228109	471.7635	0.0404261329623291
471.8635	-0.00638724866757052	468.9465	-0.0105904474604106	468.5465	0.00403368840799193	471.8635	0.0380661174036755
471.9635	-0.0226821818649866	469.0465	-0.0119018392105008	468.6465	0.00326901587140708	471.9635	0.037057419986454
472.0635	-0.0225130136970979	469.1465	-0.00621827825884638	468.7465	0.00326541542969004	472.0635	0.0364805773658252
472.1635	-0.0249431709558681	469.2465	-0.00729126353551239	468.8465	0.00326453152419486	472.1635	0.0392027116128698
472.2635	-0.00776299145624177	469.3465	0.00101472570208834	468.9465	-0.003008516311592	472.2635	0.0367063668844331
472.3635	0.00186535136164803	469.4465	0.00251865836767811	469.0465	0.00198245606695055	472.3635	0.0328665320337746
472.4635	0.0106183370997958	469.5465	2.35074859919791E-4	469.1465	-0.00387518270326585	472.4635	0.0338558470119193
472.5635	0.0106581899608303	469.6465	9.49221681211214E-4	469.2465	-0.0022019496008872	472.5635	0.0289618026269836
472.6635	0.0106755180398725	469.7465	-0.00859847811421499	469.3465	-0.00529614075075396	472.6635	0.0267037642279667
472.7635	-0.00752010065772707	469.8465	-0.0283583059300352	469.4465	-0.0220752303752356	472.7635	0.0228499708895834
472.8635	-0.0108243140997392	469.9465	-0.0207719555698036	469.5465	-0.0286040156415916	472.8635	0.021926953954367
472.9635	-0.00500340452873733	470.0465	-0.0160195443311804	469.6465	-0.02712332661958	472.9635	0.0232126624297278
473.0635	-4.04477286536383E-4	470.1465	-0.0220012484300271	469.7465	-0.0222275125602971	473.0635	0.0241029370682249
473.1635	0.00510459569220859	470.2465	-0.0329576375944537	469.8465	-0.0170788072461394	473.1635	0.0128775823440979
473.2635	0.00967164924939477	470.3465	-0.0198026099661866	469.9465	-0.0297281430795503	473.2635	0.00623182412992889
473.3635	0.00924946015376391	470.4465	-0.0181944071222822	470.0465	-0.0210578256867651	473.3635	0.00258104945295522
473.4635	0.00408594555128674	470.5465	-0.0104224676851251	470.1465	-0.0161292358224505	473.4635	0.00105184079227689
473.5635	-0.00308843325772875	470.6465	0.00220520593101208	470.2465	-0.010756151098341	473.5635	-0.00236911416305309
473.6635	-0.0105302151280153	470.7465	0.00768751389405678	470.3465	-0.00661952936157273	473.6635	-0.00669791617536673
473.7635	-0.0203008082249697	470.8465	0.0138053124064788	470.4465	-0.0104456026880155	473.7635	-0.0065928838063784
473.8635	-0.0122941688346841	470.9465	0.0277525032983122	470.5465	-0.00720406490459123	473.8635	-0.00265092858314476
473.9635	-0.0181688814888451	471.0465	0.0292679108637241	470.6465	-0.0178982371388804	473.9635	-0.00399238508164188
474.0635	-0.00508378995201997	471.1465	0.0396976668049042	470.7465	-0.0261154793065938	474.0635	-0.00405698366436845
474.1635	-0.0024598748282894	471.2465	0.053115766094979	470.8465	-0.0290366814887797	474.1635	-6.76335513161575E-5
474.2635	-0.00424588871105763	471.3465	0.056460461843627	470.9465	-0.0368423035991453	474.2635	0.0124974782111062
474.3635	-0.0153818896967104	471.4465	0.0431654724068103	471.0465	-0.0297082728840186	474.3635	0.021161039893969
474.4635	-0.0161317464002077	471.5465	0.0426018806225603	471.1465	-0.0258559770278854	474.4635	0.0313928978221513
474.5635	-0.00957749256329437	471.6465	0.0385386293999573	471.2465	-0.030920747265491	474.5635	0.0338025318901797
474.6635	-0.00939525176218992	471.7465	0.0392015627650231	471.3465	-0.0368380231394673	474.6635	0.0369772560668342
474.7635	-0.00570165212134748	471.8465	0.0465028433419384	471.4465	-0.0331464242487098	474.7635	0.0429492260486385
474.8635	-0.00303597925242158	471.9465	0.0640764577918166	471.5465	-0.0301210514468354	474.8635	0.0468959454889547
474.9635	3.8546458094184E-4	472.0465	0.0725338866979078	471.6465	-0.01611049231179	474.9635	0.0461166379636113
475.0635	0.00757045705346599	472.1465	0.0785017226410297	471.7465	0.00226342799764764	475.0635	0.0498318680103732
475.1635	0.0034335717679304	472.2465	0.0722124474171929	471.8465	0.0115487521022219	475.1635	0.0487355347771616
475.2635	0.00489515479721932	472.3465	0.058401806797202	471.9465	0.0169139736030463	475.2635	0.0482421948471221
475.3635	-6.02371864706067E-4	472.4465	0.053288216685419	472.0465	0.0209225171389276	475.3635	0.0504120236236425
475.4635	0.00103088992505564	472.5465	0.06496052829829	472.1465	0.0292636975888237	475.4635	0.0494032507809401
475.5635	-0.00511183666108737	472.6465	0.0778022628922786	472.2465	0.0164315995625257	475.5635	0.0444709589939348
475.6635	-0.00941495449357355	472.7465	0.087521560763983	472.3465	0.0106670036310838	475.6635	0.0418524536290827
475.7635	-0.00600394708517447	472.8465	0.0913606718048406	472.4465	0.0132208924027734	475.7635	0.0399817584906655
475.8635	-6.28628980704565E-4	472.9465	0.0851640482937433	472.5465	0.00903974363205019	475.8635	0.0447048925549704
475.9635	-9.76856259712621E-4	473.0465	0.0666104836152995	472.6465	0.00135539335562349	475.9635	0.0464041427111202
476.0635	-0.0158902236079332	473.1465	0.0526591189562148	472.7465	-0.0134458693328399	476.0635	0.0492598564395316
476.1635	-0.0241848154060561	473.2465	0.0434020436066914	472.8465	-0.0153545748591349	476.1635	0.0442929226839174
476.2635	-0.0292361999574283	473.3465	0.0373781829785483	472.9465	-0.0286761502851479	476.2635	0.0371223272408003
476.3635	-0.0293747592007884	473.4465	0.0454128181424486	473.0465	-0.0338336581194969	476.3635	0.0270654182381104
476.4635	-0.0300173263582796	473.5465	0.0507064278679776	473.1465	-0.0448318022125922	476.4635	0.0216709878465681
476.5635	-0.0354634882576023	473.6465	0.0427056120592865	473.2465	-0.0347174484123289	476.5635	0.0194580328805449
476.6635	-0.0348229515999392	473.7465	0.0328980434503972	473.3465	-0.0316779007126635	476.6635	0.0203596060651252
476.7635	-0.0267777499205438	473.8465	0.0424835439605736	473.4465	-0.0217485836887615	476.7635	0.022708183683769
476.8635	-0.0339768698537369	473.9465	0.0460061739194013	473.5465	-0.0251227072964631	476.8635	0.0225427154547956
476.9635	-0.0334338832259549	474.0465	0.050701203258617	473.6465	-0.0226960520066422	476.9635	0.0171457836105968
477.0635	-0.0311266125050913	474.1465	0.0596835055974363	473.7465	-0.0139642501476122	477.0635	0.0153671362014238
477.1635	-0.0159598972842409	474.2465	0.0704840607972843	473.8465	-0.00509084073555078	477.1635	0.0162704374887936
477.2635	-0.0132710164905839	474.3465	0.0728252926151257	473.9465	-0.00996284238079354	477.2635	0.0244034465052892
477.3635	-0.0124417121794026	474.4465	0.0616222693275765	474.0465	-0.00505870193174598	477.3635	0.0351796281695649
477.4635	-0.0173093106848859	474.5465	0.0552415323586847	474.1465	-0.00290823764565288	477.4635	0.0425344431890504
477.5635	-0.0088029790529852	474.6465	0.0589955399892785	474.2465	0.0182655122468053	477.5635	0.048094933756378
477.6635	-0.00467080865688114	474.7465	0.0588797105477611	474.3465	0.0198844146247468	477.6635	0.0501435089117593
477.7635	0.0040119699685634	474.8465	0.0510308820295047	474.4465	0.0242460433443684	477.7635	0.0500162594422677
477.8635	-0.00489311397281573	474.9465	0.0371792437666562	474.5465	0.0316067427846795	477.8635	0.0464510649982423
477.9635	0.00602075377315911	475.0465	0.0232301450783736	474.6465	0.0403782084296299	477.9635	0.0475755443476049
478.0635	0.00195414236591432	475.1465	0.0131774209256114	474.7465	0.0446185387981478	478.0635	0.04713723637601
478.1635	0.00897284550632321	475.2465	0.0144789702812971	474.8465	0.0497659447712276	478.1635	0.0433221869112158
478.2635	0.00740626326600392	475.3465	0.0278718049589683	474.9465	0.0400531492374253	478.2635	0.0377919935183734
478.3635	0.00344124774558595	475.4465	0.0371369614323185	475.0465	0.0303691130420845	478.3635	0.035393806937884
478.4635	-0.00317940343570895	475.5465	0.0476109163846414	475.1465	0.0391967685593637	478.4635	0.0356988314015181
478.5635	9.81052855459223E-4	475.6465	0.0459791006745223	475.2465	0.0411683757470475	478.5635	0.0404946889959188
478.6635	-0.00339673574782705	475.7465	0.0357491231388625	475.3465	0.0330183928948141	478.6635	0.0371754140811162
478.7635	0.00951645160862908	475.8465	0.0290904991144805	475.4465	0.0366077563296473	478.7635	0.0368034423425665
478.8635	0.00451039882630228	475.9465	0.0410326980622768	475.5465	0.0343097965013842	478.8635	0.0408773826097866
478.9635	0.0240118354049307	476.0465	0.0380292993872851	475.6465	0.037108594861327	478.9635	0.0459301393920172
