E	P1	E	P2	E	P3	E	P4
503.512	-0.0424654537326139	466.112	0	465.552	0.0912731879533995	465.412	0
503.612	-0.0588261918293807	466.212	9.06811083307458E-4	465.652	0.0912731879533995	465.512	0.0341826657549378
503.712	-0.0468208778116774	466.312	0.00382568083435314	465.752	0.0912731879533995	465.612	0.0366293471495323
503.812	-0.0243519073697685	466.412	-0.0392304595256795	465.852	0.0912731879533995	465.712	0.0277366957092386
503.912	-0.031410901821462	466.512	-0.0532224819935828	465.952	0.0912731879533995	465.812	0.0250122878842338
504.012	-0.0349237280935666	466.612	-0.0397207072275293	466.052	0.0912731879533995	465.912	-0.00650914637791002
504.112	-0.0215044426280435	466.712	-0.0459799498205862	466.152	0.0912731879533995	466.012	-0.00995596365517203
504.212	-0.0217638598515744	466.812	-0.0458945694317372	466.252	0.102478714262813	466.112	-0.0254310070698835
504.312	-0.027672670806245	466.912	-0.061836182313002	466.352	0.108136905135295	466.212	-0.0296763820781521
504.412	-0.0166884699637011	467.012	-0.0598062440326847	466.452	0.109854367820327	466.312	-0.0164897801091684
504.512	-0.0155578583638167	467.112	-0.0657103286236859	466.552	0.107295748030242	466.412	-0.0200429723954959
504.612	-0.0258538253123329	467.212	-0.0552092484877266	466.652	0.104027139003755	466.512	-0.0214332533179678
504.712	-0.0210097966752656	467.312	-0.0491892132525459	466.752	0.0961611841351932	466.612	-0.0346601737863606
504.812	-0.0312505509913737	467.412	-0.0473110884549157	466.852	0.0963918065884638	466.712	-0.0359107525827669
504.912	-0.0313432277944802	467.512	-0.0533824986425655	466.952	0.089934676609138	466.812	-0.0399033997763714
505.012	-0.0285863404293312	467.612	-0.0743982083524979	467.052	0.0935995772225934	466.912	-0.0188792230221102
505.112	-0.0116235886351909	467.712	-0.085329416726582	467.152	0.0724894496492289	467.012	-0.00669927452203969
505.212	-0.0277033274366357	467.812	-0.0896565360263948	467.252	0.0485229359564252	467.112	-0.0110821480459594
505.312	-0.0359054731197278	467.912	-0.0914938687132517	467.352	0.0228277910594096	467.212	-0.0150251761493641
505.412	-0.0147606130288409	468.012	-0.0689193426529999	467.452	0.0101978935475831	467.312	-0.0168724233099743
505.512	-0.0119134441462828	468.112	-0.0677618653059666	467.552	0.00130141294213979	467.412	-0.0302903724938415
505.612	-0.019580682323505	468.212	-0.056856676502186	467.652	0.0112900519195084	467.512	-0.0342925274893426
505.712	-0.0121091636323859	468.312	-0.0751880034338527	467.752	0.030687463013615	467.612	-0.0317539583298466
505.812	-0.0116201621660301	468.412	-0.056403212013835	467.852	0.038240052135245	467.712	-0.0176645395649683
505.912	-0.00805105676848721	468.512	-0.0314978173117317	467.952	0.0307989805946565	467.812	-0.0206086467600551
506.012	-0.0182047766061007	468.612	-0.0177960739839167	468.052	0.029509617372839	467.912	-0.0220432250336519
506.112	-0.0289118333815057	468.712	4.9018778259129E-4	468.152	0.0121500544486054	468.012	-0.0367695987835114
506.212	-0.0349536388994397	468.812	0.0238963770197546	468.252	0.0157698827023369	468.112	-0.0448695805329948
506.312	-0.0333413824732968	468.912	0.04528177384726	468.352	0.0156926323950782	468.212	-0.0308607947821056
506.412	-0.0211357848116836	469.012	0.0504511401619623	468.452	0.0224799754923193	468.312	-0.00449587131871539
506.512	-0.0270147627856481	469.112	0.0538084783615807	468.552	0.0390194355466916	468.412	0.0047973475384516
506.612	-0.0440194536975926	469.212	0.0501163461682156	468.652	0.0788926753432619	468.512	0.0106833523409675
506.712	-0.0278317540949549	469.312	0.0374620577544795	468.752	0.0974697064289183	468.612	0.0209527467027533
506.812	-0.0106634141511663	469.412	0.0422976130738793	468.852	0.100689990451165	468.712	0.0253530000581785
506.912	-0.0140573134795568	469.512	0.0517463966963282	468.952	0.115460531316163	468.812	0.0267090572771345
507.012	-0.00972740221970349	469.612	0.0529119140407712	469.052	0.135296053712446	468.912	0.0255828748787616
507.112	0.00567980175335776	469.712	0.0628656961770991	469.152	0.143846381582332	469.012	0.0351082498710908
507.212	0.0114330661407991	469.812	0.0648067860102052	469.252	0.154089091924713	469.112	0.0481790985360535
507.312	0.0157485365085425	469.912	0.0550290731752676	469.352	0.169123196566269	469.212	0.0511222932053087
507.412	0.0151351444835035	470.012	0.053019738010989	469.452	0.191423841817923	469.312	0.0368849376653206
507.512	0.0101379948302471	470.112	0.0694989099012186	469.552	0.204083031385032	469.412	0.00986614361801749
507.612	0.00597793699750072	470.212	0.0486904268903209	469.652	0.202879055060302	469.512	-0.00161879093913652
507.712	0.0220494393020985	470.312	0.0485660244520863	469.752	0.163470850496841	469.612	-0.011249783823029
507.812	0.019993363242698	470.412	0.0566464144633609	469.852	0.118134926996385	469.712	-0.019229511404182
507.912	-0.0115756159051294	470.512	0.0662412929086293	469.952	0.0951469448540675	469.812	-0.0231625913820901
508.012	-0.0125945287178109	470.612	0.0506681400573526	470.052	0.0790422057178172	469.912	-0.0231762194971305
508.112	0.0103051159454471	470.712	0.0308911179780785	470.152	0.0599589735317712	470.012	-0.0247311137039065
508.212	0.0209248745015136	470.812	0.0257601317749266	470.252	0.0699534208029187	470.112	-0.0287503676004715
