E	P1	E	P2	E	P3	E	P4
464.975	0	465.475	0.0459427136710188	465.675	0.155718367760069	463.875	-0.0241847677273686
465.075	0	465.575	-0.0182514395428044	465.775	0.155718367760069	463.975	-0.0229496312455954
465.175	0	465.675	-0.0380711117034785	465.875	0.155718367760069	464.075	-0.0615678458727786
465.275	0.083516915963175	465.775	0.0176313329526973	465.975	0.155718367760069	464.175	-0.013712905730843
465.375	0.0436793591572479	465.875	0.0212187798872861	466.075	0.155718367760069	464.275	0.101409930109482
465.475	0.115330316296916	465.975	-0.04246511686548	466.175	0.155718367760069	464.375	-0.0289869690318121
465.575	-0.0202365321234916	466.075	-0.0391038722215518	466.275	0.155718367760069	464.475	0.0130453323278435
465.675	0.134051771436788	466.175	0.0365565523737822	466.375	0.155718367760069	464.575	-0.0744978162018521
465.775	0.0549429197395157	466.275	0.0173431722354204	466.475	0.155718367760069	464.675	-0.0622954793358381
465.875	0.0697733817169107	466.375	0.0363375365401622	466.575	0.155718367760069	464.775	-0.0873249931545896
465.975	0.0468767618824188	466.475	0.0685107103425545	466.675	0.155718367760069	464.875	0.00814725038940286
466.075	0.0872484173802488	466.575	-0.00445888139824319	466.775	0.155718367760069	464.975	0.00243956512566378
466.175	0.0615072442929199	466.675	0.00592084810999782	466.875	0.155718367760069	465.075	-0.118609641031166
466.275	0.0807703659417959	466.775	0.00948552892503931	466.975	0.155718367760069	465.175	-0.0163133986003941
466.375	-0.037956386670047	466.875	0.030636100509536	467.075	0.368152479425711	465.275	-0.0232717919713435
466.475	0.0602084176829614	466.975	0.00840977574291576	467.175	0.176567500019465	465.375	-0.113054758794669
466.575	0.0666940369385153	467.075	-0.00969779056971134	467.275	0.300998933329181	465.475	0.0946946946946947
466.675	-0.00296211929150096	467.175	0.0191406510317699	467.375	0.246474146857993	465.575	-0.00485117404399916
466.775	0.0763458416736984	467.275	0.0895092136142836	467.475	0.328076800298979	465.675	0.0234244558459805
466.875	0.103904236842404	467.375	0.0817438775528583	467.575	0.213432266402984	465.775	0.129525938494548
466.975	0.0416195885377842	467.475	0.0770734009232526	467.675	0.39049183646457	465.875	0.0322751002123199
467.075	0.0541140545715291	467.575	0.0360111741301955	467.775	0.250891876951346	465.975	0.0291707402469734
467.175	0.104798374432887	467.675	-0.0295419218999624	467.875	0.303018600559029	466.075	0.0885401096163428
467.275	0.10231840076889	467.775	-0.0336769264297717	467.975	0.289779424932068	466.175	-0.083208769307424
467.375	0.0164200441203737	467.875	-0.00177910019794276	468.075	0.25509471569719	466.275	0.0160871185086432
467.475	0.0385968131922188	467.975	0.0587230800542497	468.175	0.392449216347314	466.375	0.00402451330254021
467.575	0.122761534299239	468.075	0.0271024889636553	468.275	0.38782438082484	466.475	-0.00898674459212576
467.675	0.114427475716767	468.175	0.0429861800288539	468.375	0.340697774005933	466.575	-0.0475484453062928
467.775	0.0426406762601361	468.275	0.102800376793687	468.475	0.334651229785809	466.675	0.0473424096742482
467.875	0.0697162446977981	468.375	0.0316375215908907	468.575	0.300539564144289	466.775	-0.0600317806595834
467.975	-0.019627890433144	468.475	0.0302414757632684	468.675	0.199498586855813	466.875	-0.0968484179246511
468.075	0.0290536066324349	468.575	-0.0166487875780559	468.775	0.291655831263577	466.975	0.0536904617622106
468.175	0.0963226084751984	468.675	0.111716266428439	468.875	0.184124512406861	467.075	-0.0224131306194086
468.275	0.076403735474521	468.775	0.0866371523618949	468.975	0.275532751465699	467.175	0.122838982480238
468.375	0.0832639616765742	468.875	-0.0142666481751983	469.075	0.322941208530252	467.275	0.147994631402703
468.475	0.0421669309096138	468.975	-0.0552000950989804	469.175	0.246064607550784	467.375	-0.0188282003977071
468.575	0.0977179247531946	469.075	0.0317574759866069	469.275	0.334704174030848	467.475	0.0040417457816561
468.675	0.0230088127230141	469.175	0.105561309123919	469.375	0.330305130141626	467.575	0.112249918079515
468.775	0.0781146297256288	469.275	-0.0170107400609858	469.475	0.230195348692355	467.675	0.0376333732835975
468.875	0.053441086435823	469.375	0.0519373715578402	469.575	0.223698778389405	467.775	-0.0232344003196021
468.975	0.104705101087117	469.475	0.0495579158193912	469.675	0.339170176818207	467.875	0.111636299977107
469.075	0.108517199756316	469.575	0.0215260504564931	469.775	0.384792544204552	467.975	0.0105296327717852
469.175	0.0199809291009055	469.675	0.0034783712858715	469.875	0.410433130639925	468.075	0.100627084483587
469.275	0.112309622101053	469.775	0.0360171178164698	469.975	0.38990789258547	468.175	0.0569978049798678
469.375	0.0449895374928579	469.875	0.111301829394591	470.075	0.436945739934754	468.275	0.0722579081323476
469.475	0.0536628234768822	469.975	0.0438013656069494	470.175	0.380849755132867	468.375	-0.0467521332992185
469.575	0.0451967064859976	470.075	0.131690834655653	470.275	0.258402173828414	468.475	-0.0392913092464662
469.675	0.0103772556824847	470.175	-0.014407567573409	470.375	0.327734219889907	468.575	-0.0222533744506839
469.775	0.0395902783821521	470.275	-0.00303426985416355	470.475	0.362244524552894	468.675	-0.0422732149189548
469.875	0.0274193365294748	470.375	-0.00708997120013833	470.575	0.252746482711368	468.775	0.0236605215080551
469.975	0.0249817426412438	470.475	0.104496668834011	470.675	0.351527986483646	468.875	-0.0656777854087271
470.075	0.0314270632707349	470.575	-0.016061713474697	470.775	0.278161277513489	468.975	0.0115652423724173
470.175	0.00437794435384086	470.675	0.00965616675462122	470.875	0.349478732763923	469.075	0.0794094542973467
470.275	0.100446501208959	470.775	0.0437237374619739	470.975	0.366710527340252	469.175	0.0280636690502161
