,Energy (eV),Co-s,Co-py,Co-pz,Co-px,Co-xy,Co-yz,Co-z2,Co-xz,Co-x2-y2,Li-s,Li-py,Li-pz,Li-px,Li-xy,Li-yz,Li-z2,Li-xz,Li-x2-y2,O1-s,O1-py,O1-pz,O1-px,O1-xy,O1-yz,O1-z2,O1-xz,O1-x2-y2,O2-s,O2-py,O2-pz,O2-px,O2-xy,O2-yz,O2-z2,O2-xz,O2-x2-y2
1334,-5.853760888199702,1.53408,0.186662,0.089546,0.186662,0.960623,0.678036,0.847051,0.678036,0.960623,0.920187,0.170805,0.552141,0.170805,0.037532,0.034172,0.062187,0.034172,0.037532,0.158908,2.580707,2.399173,2.580707,0.002085,0.006772,0.008789,0.006772,0.002085,0.158908,2.580707,2.399173,2.580707,0.002085,0.006772,0.008789,0.006772,0.002085
1335,-5.849225655511068,1.539828,0.189364,0.093622,0.189364,0.986394,0.677628,0.855624,0.677628,0.986394,0.939583,0.174153,0.553037,0.174153,0.038293,0.034235,0.06242,0.034235,0.038293,0.161367,2.606106,2.444586,2.606106,0.002092,0.006854,0.00889,0.006854,0.002092,0.161367,2.606106,2.444586,2.606106,0.002092,0.006854,0.00889,0.006854,0.002092
1336,-5.844690422822435,1.54359,0.193055,0.099036,0.193055,1.015232,0.67592,0.864375,0.675919,1.015232,0.961062,0.178535,0.554232,0.178535,0.03902,0.034278,0.062671,0.034278,0.03902,0.163722,2.634031,2.495519,2.634031,0.002102,0.006938,0.009005,0.006938,0.002102,0.163722,2.634032,2.495519,2.634032,0.002102,0.006938,0.009005,0.006938,0.002102
1337,-5.840155190133801,1.545156,0.198124,0.106341,0.198124,1.047081,0.672968,0.873298,0.672968,1.047081,0.984576,0.184577,0.556171,0.184577,0.039712,0.03431,0.062949,0.03431,0.039712,0.166068,2.665984,2.553759,2.665984,0.002113,0.007026,0.009133,0.007026,0.002113,0.166068,2.665984,2.553759,2.665984,0.002113,0.007026,0.009133,0.007026,0.002113
1338,-5.835619957445168,1.544543,0.204627,0.115605,0.204627,1.081953,0.668798,0.882396,0.668798,1.081953,1.010131,0.192367,0.558929,0.192367,0.04037,0.034333,0.063253,0.034333,0.04037,0.168414,2.702223,2.619552,2.702223,0.002126,0.007118,0.009275,0.007118,0.002126,0.168414,2.702223,2.619552,2.702223,0.002126,0.007118,0.009275,0.007118,0.002126
1339,-5.831084724756536,1.54175,0.212563,0.126828,0.212563,1.119849,0.663409,0.89167,0.663409,1.119849,1.037727,0.201903,0.562506,0.201903,0.040995,0.034345,0.063583,0.034345,0.040995,0.17076,2.742749,2.692897,2.742749,0.00214,0.007214,0.009431,0.007214,0.00214,0.17076,2.742749,2.692897,2.742749,0.00214,0.007214,0.009431,0.007214,0.00214
1340,-5.826549492067903,1.536776,0.221933,0.140011,0.221933,1.160768,0.656801,0.901118,0.6568,1.160767,1.067363,0.213186,0.566903,0.213186,0.041585,0.034347,0.063941,0.034347,0.041585,0.173107,2.787563,2.773794,2.787563,0.002155,0.007314,0.0096,0.007314,0.002155,0.173107,2.787563,2.773794,2.787563,0.002155,0.007314,0.0096,0.007314,0.002155
1341,-5.822014259379269,1.529624,0.232737,0.155152,0.232737,1.20471,0.648973,0.910741,0.648973,1.20471,1.09904,0.226216,0.572119,0.226216,0.042142,0.034339,0.064325,0.034339,0.042142,0.175453,2.836663,2.862244,2.836663,0.002171,0.007418,0.009783,0.007418,0.002171,0.175453,2.836663,2.862244,2.836664,0.002171,0.007418,0.009783,0.007418,0.002171
1342,-5.817479026690636,1.512433,0.243183,0.170433,0.243183,1.238334,0.637399,0.920382,0.637399,1.238334,1.122865,0.239515,0.576117,0.239515,0.042173,0.03424,0.064517,0.03424,0.042173,0.176877,2.868718,2.943552,2.868719,0.002174,0.00748,0.009918,0.00748,0.002174,0.176877,2.868719,2.943552,2.868719,0.002174,0.00748,0.009918,0.00748,0.002174
1343,-5.812943794002003,1.44962,0.244745,0.177101,0.244745,1.197836,0.610867,0.92943,0.610867,1.197836,1.091628,0.246254,0.569625,0.246254,0.039427,0.033665,0.063481,0.033665,0.039427,0.173177,2.784101,2.948251,2.784101,0.002088,0.007283,0.009705,0.007283,0.002088,0.173177,2.784101,2.948251,2.784101,0.002088,0.007283,0.009705,0.007283,0.002088
1344,-5.808408561313369,1.380672,0.244156,0.181525,0.244156,1.13192,0.583376,0.938985,0.583376,1.13192,1.042143,0.253092,0.562536,0.253092,0.036252,0.032891,0.062103,0.032891,0.036252,0.168888,2.673802,2.933922,2.673802,0.001976,0.007017,0.009379,0.007017,0.001976,0.168888,2.673802,2.933922,2.673802,0.001976,0.007017,0.009379,0.007017,0.001976
1345,-5.803873328624736,1.350279,0.251341,0.19362,0.251341,1.113542,0.569793,0.949991,0.569793,1.113542,1.028643,0.268299,0.566573,0.268299,0.03539,0.03239,0.061616,0.03239,0.03539,0.169209,2.657128,2.981359,2.657128,0.001925,0.006941,0.009285,0.006941,0.001925,0.169208,2.657128,2.981359,2.657128,0.001925,0.006941,0.009285,0.006941,0.001925
1346,-5.799338095936102,1.328589,0.261393,0.208644,0.261393,1.106227,0.559859,0.961675,0.559859,1.106227,1.023546,0.28686,0.574522,0.28686,0.03502,0.031995,0.061383,0.031995,0.03502,0.170679,2.666275,3.047287,2.666275,0.00189,0.006912,0.009249,0.006912,0.00189,0.170679,2.666275,3.047287,2.666275,0.00189,0.006912,0.009249,0.006912,0.00189
1347,-5.794802863247469,1.308438,0.273396,0.225573,0.273396,1.100502,0.551658,0.973882,0.551658,1.100502,1.019909,0.307841,0.58492,0.307841,0.034724,0.031666,0.061282,0.031666,0.034724,0.172518,2.685734,3.121744,2.685734,0.001862,0.006895,0.009229,0.006895,0.001862,0.172518,2.685734,3.121744,2.685734,0.001862,0.006895,0.009229,0.006895,0.001862
1348,-5.790267630558835,1.290124,0.288148,0.244985,0.288148,1.097782,0.546129,0.98664,0.546129,1.097782,1.019052,0.331839,0.598376,0.331839,0.034551,0.031432,0.061405,0.031432,0.034551,0.174848,2.719603,3.207843,2.719603,0.001845,0.006897,0.009235,0.006897,0.001845,0.174847,2.719603,3.207843,2.719603,0.001845,0.006897,0.009235,0.006897,0.001845
