# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000111, 0.000033
0.040066, 0.000223, 0.000065
0.060149, 0.000335, 0.000098
0.080266, 0.000447, 0.000131
0.100416, 0.000560, 0.000164
0.120599, 0.000673, 0.000197
0.140817, 0.000788, 0.000231
0.161067, 0.000903, 0.000264
0.181352, 0.001019, 0.000298
0.201671, 0.001137, 0.000333
0.222023, 0.001255, 0.000367
0.242410, 0.001375, 0.000402
0.262831, 0.001497, 0.000438
0.283286, 0.001620, 0.000474
0.303775, 0.001745, 0.000510
0.324299, 0.001872, 0.000547
0.344857, 0.002001, 0.000584
0.365449, 0.002132, 0.000623
0.386077, 0.002266, 0.000661
0.406739, 0.002402, 0.000701
0.427436, 0.002542, 0.000741
0.448168, 0.002684, 0.000783
0.468935, 0.002829, 0.000825
0.489737, 0.002979, 0.000868
0.510574, 0.003131, 0.000912
0.531447, 0.003288, 0.000958
0.552355, 0.003450, 0.001004
0.573298, 0.003616, 0.001052
0.594277, 0.003787, 0.001102
0.615292, 0.003964, 0.001153
0.636342, 0.004146, 0.001205
0.657428, 0.004335, 0.001260
0.678550, 0.004531, 0.001317
0.699708, 0.004734, 0.001375
0.720903, 0.004945, 0.001436
0.742133, 0.005165, 0.001500
0.763400, 0.005395, 0.001566
0.784703, 0.005635, 0.001636
0.806042, 0.005886, 0.001709
0.827418, 0.006149, 0.001786
0.848831, 0.006426, 0.001866
0.870280, 0.006718, 0.001951
0.891767, 0.007026, 0.002042
0.913290, 0.007352, 0.002137
0.934850, 0.007698, 0.002239
0.956448, 0.008065, 0.002348
0.978083, 0.008457, 0.002464
0.999755, 0.008876, 0.002588
1.021464, 0.009325, 0.002722
1.043211, 0.009808, 0.002867
1.064996, 0.010328, 0.003024
1.086818, 0.010890, 0.003193
1.108678, 0.011498, 0.003377
1.130576, 0.012157, 0.003578
1.152512, 0.012873, 0.003796
1.174487, 0.013651, 0.004033
1.196499, 0.014497, 0.004292
1.218550, 0.015416, 0.004574
1.240639, 0.016414, 0.004881
1.262767, 0.017497, 0.005215
1.284933, 0.018672, 0.005578
1.307138, 0.019943, 0.005972
1.329382, 0.021318, 0.006399
1.351664, 0.022804, 0.006860
1.373986, 0.024405, 0.007355
1.396347, 0.026128, 0.007885
1.418747, 0.027973, 0.008448
1.441186, 0.029942, 0.009039
1.463665, 0.032027, 0.009655
1.486184, 0.034219, 0.010288
1.508742, 0.036501, 0.010929
1.531339, 0.038850, 0.011569
1.553977, 0.041243, 0.012198
1.576655, 0.043653, 0.012807
1.599372, 0.046054, 0.013388
1.622130, 0.048427, 0.013936
1.644928, 0.050757, 0.014449
1.667767, 0.053037, 0.014926
1.690646, 0.055266, 0.015369
1.713565, 0.057448, 0.015784
1.736525, 0.059585, 0.016174
1.759526, 0.061682, 0.016547
1.782568, 0.063742, 0.016907
1.805651, 0.065767, 0.017262
1.828776, 0.067756, 0.017617
1.851941, 0.069709, 0.017975
1.875148, 0.071625, 0.018341
1.898396, 0.073504, 0.018717
1.921686, 0.075348, 0.019101
1.945017, 0.077158, 0.019493
1.968391, 0.078936, 0.019888
1.991806, 0.080691, 0.020281
2.015263, 0.082431, 0.020667
2.038763, 0.084169, 0.021041
2.062305, 0.085923, 0.021396
2.085889, 0.087713, 0.021729
2.109515, 0.089568, 0.022035
2.133184, 0.091518, 0.022311
2.156896, 0.093594, 0.022553
2.180651, 0.095828, 0.022760
2.204449, 0.098241, 0.022929
2.228289, 0.100847, 0.023063
2.252173, 0.103649, 0.023165
2.276101, 0.106637, 0.023243
2.300071, 0.109792, 0.023303
2.324086, 0.113077, 0.023349
2.348143, 0.116444, 0.023386
2.372245, 0.119828, 0.023414
2.396391, 0.123154, 0.023433
2.420580, 0.126343, 0.023444
2.444814, 0.129320, 0.023447
2.469092, 0.132025, 0.023445
2.493414, 0.134419, 0.023441
2.517781, 0.136482, 0.023436
2.542192, 0.138210, 0.023433
2.566649, 0.139602, 0.023429
2.591150, 0.140660, 0.023425
2.615696, 0.141374, 0.023416
2.640287, 0.141726, 0.023401
2.664923, 0.141688, 0.023379
2.689605, 0.141220, 0.023350
2.714332, 0.140274, 0.023317
2.739105, 0.138800, 0.023287
2.763924, 0.136743, 0.023268
2.788789, 0.134058, 0.023270
2.813699, 0.130716, 0.023302
2.838656, 0.126712, 0.023376
2.863659, 0.122075, 0.023500
2.888708, 0.116871, 0.023679
2.913804, 0.111196, 0.023910
2.938946, 0.105171, 0.024184
2.964135, 0.098923, 0.024476
2.989371, 0.092581, 0.024748
3.014654, 0.086267, 0.024949
3.039985, 0.080087, 0.025017
3.065362, 0.074134, 0.024889
3.090787, 0.068486, 0.024512
3.116260, 0.063201, 0.023860
3.141780, 0.058320, 0.022937
3.167348, 0.053866, 0.021785
3.192965, 0.049844, 0.020471
3.218629, 0.046250, 0.019076
3.244341, 0.043065, 0.017675
3.270102, 0.040268, 0.016334
3.295911, 0.037831, 0.015097
