# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000104, 0.000031
0.040066, 0.000208, 0.000062
0.060149, 0.000312, 0.000092
0.080266, 0.000417, 0.000124
0.100416, 0.000522, 0.000155
0.120599, 0.000628, 0.000186
0.140817, 0.000735, 0.000218
0.161067, 0.000842, 0.000250
0.181352, 0.000951, 0.000282
0.201671, 0.001061, 0.000314
0.222023, 0.001172, 0.000347
0.242410, 0.001284, 0.000380
0.262831, 0.001397, 0.000413
0.283286, 0.001512, 0.000447
0.303775, 0.001629, 0.000482
0.324299, 0.001748, 0.000517
0.344857, 0.001869, 0.000552
0.365449, 0.001992, 0.000588
0.386077, 0.002117, 0.000625
0.406739, 0.002245, 0.000662
0.427436, 0.002375, 0.000700
0.448168, 0.002509, 0.000739
0.468935, 0.002646, 0.000779
0.489737, 0.002786, 0.000820
0.510574, 0.002929, 0.000862
0.531447, 0.003077, 0.000905
0.552355, 0.003229, 0.000949
0.573298, 0.003385, 0.000994
0.594277, 0.003546, 0.001040
0.615292, 0.003713, 0.001089
0.636342, 0.003885, 0.001138
0.657428, 0.004063, 0.001190
0.678550, 0.004248, 0.001243
0.699708, 0.004441, 0.001298
0.720903, 0.004641, 0.001355
0.742133, 0.004849, 0.001415
0.763400, 0.005066, 0.001477
0.784703, 0.005294, 0.001542
0.806042, 0.005532, 0.001610
0.827418, 0.005783, 0.001681
0.848831, 0.006046, 0.001756
0.870280, 0.006324, 0.001835
0.891767, 0.006617, 0.001918
0.913290, 0.006928, 0.002006
0.934850, 0.007257, 0.002099
0.956448, 0.007608, 0.002199
0.978083, 0.007982, 0.002304
0.999755, 0.008381, 0.002417
1.021464, 0.008809, 0.002538
1.043211, 0.009268, 0.002668
1.064996, 0.009762, 0.002807
1.086818, 0.010294, 0.002957
1.108678, 0.010868, 0.003119
1.130576, 0.011489, 0.003293
1.152512, 0.012161, 0.003482
1.174487, 0.012890, 0.003687
1.196499, 0.013683, 0.003909
1.218550, 0.014546, 0.004150
1.240639, 0.015487, 0.004411
1.262767, 0.016516, 0.004696
1.284933, 0.017642, 0.005005
1.307138, 0.018876, 0.005341
1.329382, 0.020226, 0.005705
1.351664, 0.021702, 0.006100
1.373986, 0.023312, 0.006527
1.396347, 0.025060, 0.006986
1.418747, 0.026947, 0.007479
1.441186, 0.028968, 0.008005
1.463665, 0.031114, 0.008563
1.486184, 0.033371, 0.009153
1.508742, 0.035720, 0.009771
1.531339, 0.038143, 0.010415
1.553977, 0.040618, 0.011082
1.576655, 0.043122, 0.011767
1.599372, 0.045635, 0.012467
1.622130, 0.048133, 0.013177
1.644928, 0.050592, 0.013893
1.667767, 0.052991, 0.014609
1.690646, 0.055308, 0.015322
1.713565, 0.057522, 0.016030
1.736525, 0.059620, 0.016729
1.759526, 0.061591, 0.017417
1.782568, 0.063427, 0.018093
1.805651, 0.065128, 0.018754
1.828776, 0.066698, 0.019397
1.851941, 0.068146, 0.020020
1.875148, 0.069487, 0.020619
1.898396, 0.070737, 0.021191
1.921686, 0.071917, 0.021734
1.945017, 0.073050, 0.022248
1.968391, 0.074161, 0.022733
1.991806, 0.075277, 0.023189
2.015263, 0.076426, 0.023616
2.038763, 0.077635, 0.024014
2.062305, 0.078935, 0.024384
2.085889, 0.080355, 0.024724
2.109515, 0.081925, 0.025033
2.133184, 0.083674, 0.025311
2.156896, 0.085630, 0.025558
2.180651, 0.087815, 0.025772
2.204449, 0.090247, 0.025954
2.228289, 0.092933, 0.026103
2.252173, 0.095865, 0.026217
2.276101, 0.099016, 0.026295
2.300071, 0.102340, 0.026333
2.324086, 0.105767, 0.026329
2.348143, 0.109209, 0.026280
2.372245, 0.112565, 0.026183
2.396391, 0.115726, 0.026040
2.420580, 0.118586, 0.025853
2.444814, 0.121054, 0.025629
2.469092, 0.123059, 0.025374
2.493414, 0.124558, 0.025097
2.517781, 0.125533, 0.024807
2.542192, 0.125995, 0.024511
2.566649, 0.125973, 0.024216
2.591150, 0.125507, 0.023929
2.615696, 0.124644, 0.023654
2.640287, 0.123427, 0.023394
2.664923, 0.121897, 0.023152
2.689605, 0.120088, 0.022930
2.714332, 0.118032, 0.022728
2.739105, 0.115749, 0.022547
2.763924, 0.113258, 0.022390
2.788789, 0.110569, 0.022257
2.813699, 0.107688, 0.022151
2.838656, 0.104617, 0.022072
2.863659, 0.101359, 0.022024
2.888708, 0.097917, 0.022009
2.913804, 0.094297, 0.022028
2.938946, 0.090511, 0.022080
2.964135, 0.086578, 0.022163
2.989371, 0.082522, 0.022267
3.014654, 0.078375, 0.022378
3.039985, 0.074169, 0.022473
3.065362, 0.069942, 0.022525
3.090787, 0.065735, 0.022495
3.116260, 0.061591, 0.022344
3.141780, 0.057556, 0.022034
3.167348, 0.053674, 0.021537
3.192965, 0.049988, 0.020843
3.218629, 0.046536, 0.019965
3.244341, 0.043345, 0.018943
3.270102, 0.040435, 0.017829
3.295911, 0.037816, 0.016687
3.321769, 0.035489, 0.015573
3.347676, 0.033446, 0.014533
3.373632, 0.031674, 0.013597
3.399636, 0.030157, 0.012781
3.425690, 0.028874, 0.012091
3.451793, 0.027806, 0.011524
3.477946, 0.026933, 0.011073
3.504149, 0.026236, 0.010731
3.530401, 0.025700, 0.010489
3.556703, 0.025308, 0.010340
3.583055, 0.025046, 0.010276
3.609457, 0.024903, 0.010291
3.635910, 0.024868, 0.010380
3.662413, 0.024933, 0.010535
3.688966, 0.025090, 0.010752
3.715571, 0.025332, 0.011023
3.742226, 0.025653, 0.011342
3.768933, 0.026050, 0.011704
3.795690, 0.026519, 0.012104
3.822499, 0.027058, 0.012539
3.849360, 0.027665, 0.013007
3.876272, 0.028341, 0.013506
3.903236, 0.029082, 0.014034
3.930252, 0.029887, 0.014590
3.957320, 0.030758, 0.015173
3.984440, 0.031693, 0.015783
4.011613, 0.032692, 0.016418
4.038838, 0.033753, 0.017076
4.066116, 0.034873, 0.017754
4.093446, 0.036045, 0.018446
4.120830, 0.037262, 0.019148
4.148267, 0.038519, 0.019854
4.175757, 0.039810, 0.020558
4.203301, 0.041129, 0.021253
4.230898, 0.042470, 0.021931
4.258550, 0.043826, 0.022585
4.286255, 0.045189, 0.023208
4.314014, 0.046554, 0.023795
4.341827, 0.047916, 0.024346
4.369695, 0.049276, 0.024863
4.397618, 0.050632, 0.025350
4.425595, 0.051986, 0.025812
4.453627, 0.053341, 0.026255
4.481714, 0.054695, 0.026680
4.509857, 0.056047, 0.027088
4.538054, 0.057393, 0.027479
4.566308, 0.058731, 0.027851
4.594617, 0.060059, 0.028202
4.622982, 0.061379, 0.028534
4.651403, 0.062691, 0.028849
