# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000129, 0.000093
0.040066, 0.000259, 0.000186
0.060149, 0.000389, 0.000279
0.080266, 0.000519, 0.000373
0.100416, 0.000650, 0.000467
0.120599, 0.000782, 0.000561
0.140817, 0.000915, 0.000657
0.161067, 0.001049, 0.000752
0.181352, 0.001183, 0.000849
0.201671, 0.001320, 0.000947
0.222023, 0.001457, 0.001045
0.242410, 0.001596, 0.001145
0.262831, 0.001737, 0.001245
0.283286, 0.001880, 0.001347
0.303775, 0.002024, 0.001450
0.324299, 0.002171, 0.001555
0.344857, 0.002320, 0.001661
0.365449, 0.002471, 0.001769
0.386077, 0.002626, 0.001878
0.406739, 0.002783, 0.001990
0.427436, 0.002944, 0.002104
0.448168, 0.003108, 0.002220
0.468935, 0.003275, 0.002339
0.489737, 0.003447, 0.002460
0.510574, 0.003623, 0.002584
0.531447, 0.003803, 0.002712
0.552355, 0.003989, 0.002842
0.573298, 0.004180, 0.002977
0.594277, 0.004377, 0.003115
0.615292, 0.004580, 0.003258
0.636342, 0.004790, 0.003405
0.657428, 0.005008, 0.003557
0.678550, 0.005233, 0.003715
0.699708, 0.005468, 0.003879
0.720903, 0.005712, 0.004049
0.742133, 0.005966, 0.004226
0.763400, 0.006232, 0.004411
0.784703, 0.006511, 0.004605
0.806042, 0.006804, 0.004809
0.827418, 0.007112, 0.005022
0.848831, 0.007437, 0.005248
0.870280, 0.007781, 0.005486
0.891767, 0.008145, 0.005739
0.913290, 0.008533, 0.006007
0.934850, 0.008946, 0.006293
0.956448, 0.009388, 0.006599
0.978083, 0.009860, 0.006926
0.999755, 0.010368, 0.007276
1.021464, 0.010912, 0.007653
1.043211, 0.011497, 0.008057
1.064996, 0.012125, 0.008491
1.086818, 0.012798, 0.008955
1.108678, 0.013519, 0.009452
1.130576, 0.014288, 0.009981
1.152512, 0.015107, 0.010545
1.174487, 0.015978, 0.011143
1.196499, 0.016904, 0.011777
1.218550, 0.017887, 0.012450
1.240639, 0.018932, 0.013163
1.262767, 0.020041, 0.013919
1.284933, 0.021219, 0.014721
1.307138, 0.022469, 0.015571
1.329382, 0.023795, 0.016473
1.351664, 0.025201, 0.017428
1.373986, 0.026687, 0.018440
1.396347, 0.028257, 0.019509
1.418747, 0.029912, 0.020638
1.441186, 0.031651, 0.021827
1.463665, 0.033474, 0.023076
1.486184, 0.035377, 0.024381
1.508742, 0.037352, 0.025737
1.531339, 0.039386, 0.027135
1.553977, 0.041467, 0.028562
1.576655, 0.043575, 0.030003
1.599372, 0.045692, 0.031443
1.622130, 0.047800, 0.032864
1.644928, 0.049881, 0.034249
1.667767, 0.051923, 0.035587
1.690646, 0.053920, 0.036866
1.713565, 0.055869, 0.038084
1.736525, 0.057776, 0.039240
1.759526, 0.059649, 0.040341
1.782568, 0.061503, 0.041396
1.805651, 0.063351, 0.042417
1.828776, 0.065207, 0.043417
1.851941, 0.067080, 0.044404
