# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000119, 0.000120
0.040066, 0.000238, 0.000241
0.060149, 0.000358, 0.000362
0.080266, 0.000478, 0.000483
0.100416, 0.000598, 0.000605
0.120599, 0.000720, 0.000728
0.140817, 0.000842, 0.000852
0.161067, 0.000965, 0.000976
0.181352, 0.001089, 0.001102
0.201671, 0.001214, 0.001229
0.222023, 0.001341, 0.001357
0.242410, 0.001469, 0.001487
0.262831, 0.001599, 0.001618
0.283286, 0.001730, 0.001751
0.303775, 0.001863, 0.001886
0.324299, 0.001999, 0.002022
0.344857, 0.002136, 0.002162
0.365449, 0.002276, 0.002303
0.386077, 0.002419, 0.002448
0.406739, 0.002564, 0.002595
0.427436, 0.002713, 0.002745
0.448168, 0.002865, 0.002899
0.468935, 0.003021, 0.003056
0.489737, 0.003180, 0.003217
0.510574, 0.003344, 0.003383
0.531447, 0.003512, 0.003553
0.552355, 0.003686, 0.003729
0.573298, 0.003865, 0.003909
0.594277, 0.004050, 0.004096
0.615292, 0.004242, 0.004290
0.636342, 0.004441, 0.004491
0.657428, 0.004647, 0.004700
0.678550, 0.004863, 0.004917
0.699708, 0.005088, 0.005145
0.720903, 0.005323, 0.005382
0.742133, 0.005570, 0.005632
0.763400, 0.005830, 0.005895
0.784703, 0.006105, 0.006172
0.806042, 0.006396, 0.006465
0.827418, 0.006705, 0.006777
0.848831, 0.007033, 0.007109
0.870280, 0.007385, 0.007464
0.891767, 0.007761, 0.007843
0.913290, 0.008165, 0.008251
0.934850, 0.008600, 0.008690
0.956448, 0.009068, 0.009162
0.978083, 0.009572, 0.009671
0.999755, 0.010114, 0.010218
1.021464, 0.010695, 0.010803
1.043211, 0.011315, 0.011428
1.064996, 0.011972, 0.012091
1.086818, 0.012663, 0.012787
1.108678, 0.013384, 0.013514
1.130576, 0.014131, 0.014267
1.152512, 0.014897, 0.015038
1.174487, 0.015676, 0.015823
1.196499, 0.016463, 0.016616
1.218550, 0.017253, 0.017411
1.240639, 0.018043, 0.018206
1.262767, 0.018829, 0.018997
1.284933, 0.019612, 0.019784
1.307138, 0.020393, 0.020571
1.329382, 0.021178, 0.021360
1.351664, 0.021974, 0.022160
1.373986, 0.022790, 0.022979
1.396347, 0.023637, 0.023831
1.418747, 0.024530, 0.024728
1.441186, 0.025482, 0.025684
1.463665, 0.026505, 0.026712
1.486184, 0.027611, 0.027823
1.508742, 0.028807, 0.029025
1.531339, 0.030097, 0.030321
1.553977, 0.031481, 0.031710
1.576655, 0.032951, 0.033186
1.599372, 0.034499, 0.034739
1.622130, 0.036114, 0.036359
1.644928, 0.037787, 0.038035
1.667767, 0.039507, 0.039758
1.690646, 0.041271, 0.041522
1.713565, 0.043075, 0.043324
1.736525, 0.044920, 0.045164
1.759526, 0.046806, 0.047043
1.782568, 0.048731, 0.048960
1.805651, 0.050691, 0.050910
1.828776, 0.052676, 0.052885
1.851941, 0.054669, 0.054868
1.875148, 0.056647, 0.056839
1.898396, 0.058583, 0.058771
1.921686, 0.060453, 0.060641
1.945017, 0.062241, 0.062429
1.968391, 0.063937, 0.064128
1.991806, 0.065549, 0.065740
2.015263, 0.067096, 0.067282
2.038763, 0.068610, 0.068785
2.062305, 0.070134, 0.070287
2.085889, 0.071714, 0.071833
2.109515, 0.073400, 0.073472
2.133184, 0.075237, 0.075246
2.156896, 0.077263, 0.077194
2.180651, 0.079510, 0.079347
2.204449, 0.082002, 0.081727
2.228289, 0.084757, 0.084354
2.252173, 0.087790, 0.087242
2.276101, 0.091115, 0.090407
2.300071, 0.094745, 0.093863
2.324086, 0.098693, 0.097623
2.348143, 0.102966, 0.101700
2.372245, 0.107575, 0.106108
2.396391, 0.112522, 0.110856
2.420580, 0.117810, 0.115955
2.444814, 0.123438, 0.121416
2.469092, 0.129401, 0.127245
2.493414, 0.135683, 0.133445
2.517781, 0.142249, 0.140002
2.542192, 0.149031, 0.146879
2.566649, 0.155917, 0.153995
2.591150, 0.162739, 0.161217
