# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000113, 0.000041
0.040066, 0.000226, 0.000082
0.060149, 0.000340, 0.000124
0.080266, 0.000454, 0.000165
0.100416, 0.000569, 0.000207
0.120599, 0.000684, 0.000249
0.140817, 0.000800, 0.000291
0.161067, 0.000917, 0.000333
0.181352, 0.001036, 0.000376
0.201671, 0.001155, 0.000419
0.222023, 0.001275, 0.000463
0.242410, 0.001397, 0.000506
0.262831, 0.001520, 0.000551
0.283286, 0.001644, 0.000595
0.303775, 0.001771, 0.000641
0.324299, 0.001899, 0.000686
0.344857, 0.002029, 0.000733
0.365449, 0.002162, 0.000780
0.386077, 0.002297, 0.000828
0.406739, 0.002434, 0.000876
0.427436, 0.002575, 0.000926
0.448168, 0.002718, 0.000976
0.468935, 0.002864, 0.001027
0.489737, 0.003014, 0.001079
0.510574, 0.003168, 0.001133
0.531447, 0.003325, 0.001187
0.552355, 0.003487, 0.001243
0.573298, 0.003653, 0.001300
0.594277, 0.003825, 0.001359
0.615292, 0.004002, 0.001420
0.636342, 0.004184, 0.001482
0.657428, 0.004373, 0.001546
0.678550, 0.004569, 0.001612
0.699708, 0.004772, 0.001681
0.720903, 0.004984, 0.001751
0.742133, 0.005204, 0.001825
0.763400, 0.005433, 0.001901
0.784703, 0.005673, 0.001981
0.806042, 0.005925, 0.002064
0.827418, 0.006189, 0.002152
0.848831, 0.006467, 0.002243
0.870280, 0.006760, 0.002339
0.891767, 0.007069, 0.002441
0.913290, 0.007397, 0.002548
0.934850, 0.007746, 0.002661
0.956448, 0.008117, 0.002782
0.978083, 0.008513, 0.002911
0.999755, 0.008936, 0.003048
1.021464, 0.009390, 0.003196
1.043211, 0.009877, 0.003354
1.064996, 0.010401, 0.003523
1.086818, 0.010965, 0.003706
1.108678, 0.011572, 0.003903
1.130576, 0.012228, 0.004116
1.152512, 0.012936, 0.004347
1.174487, 0.013701, 0.004597
1.196499, 0.014528, 0.004867
1.218550, 0.015424, 0.005161
1.240639, 0.016395, 0.005479
1.262767, 0.017447, 0.005824
1.284933, 0.018586, 0.006197
1.307138, 0.019820, 0.006599
1.329382, 0.021154, 0.007032
1.351664, 0.022593, 0.007496
1.373986, 0.024140, 0.007990
1.396347, 0.025796, 0.008513
1.418747, 0.027562, 0.009064
1.441186, 0.029431, 0.009639
1.463665, 0.031398, 0.010236
1.486184, 0.033452, 0.010852
1.508742, 0.035581, 0.011482
1.531339, 0.037773, 0.012122
1.553977, 0.040013, 0.012766
1.576655, 0.042286, 0.013408
1.599372, 0.044576, 0.014043
1.622130, 0.046869, 0.014662
1.644928, 0.049146, 0.015260
1.667767, 0.051391, 0.015830
1.690646, 0.053587, 0.016367
1.713565, 0.055717, 0.016867
1.736525, 0.057767, 0.017326
1.759526, 0.059722, 0.017744
1.782568, 0.061571, 0.018119
1.805651, 0.063303, 0.018451
1.828776, 0.064911, 0.018739
1.851941, 0.066393, 0.018983
1.875148, 0.067751, 0.019184
1.898396, 0.068991, 0.019343
1.921686, 0.070120, 0.019462
1.945017, 0.071152, 0.019548
1.968391, 0.072101, 0.019607
1.991806, 0.072983, 0.019648
2.015263, 0.073820, 0.019679
2.038763, 0.074635, 0.019709
2.062305, 0.075457, 0.019747
2.085889, 0.076320, 0.019798
2.109515, 0.077260, 0.019868
2.133184, 0.078315, 0.019958
2.156896, 0.079526, 0.020068
2.180651, 0.080932, 0.020193
2.204449, 0.082568, 0.020327
2.228289, 0.084464, 0.020459
2.252173, 0.086638, 0.020581
2.276101, 0.089088, 0.020683
2.300071, 0.091794, 0.020756
2.324086, 0.094713, 0.020795
2.348143, 0.097781, 0.020797
2.372245, 0.100915, 0.020762
2.396391, 0.104019, 0.020692
2.420580, 0.106990, 0.020592
2.444814, 0.109724, 0.020468
2.469092, 0.112128, 0.020325
2.493414, 0.114128, 0.020171
2.517781, 0.115674, 0.020012
2.542192, 0.116742, 0.019857
2.566649, 0.117339, 0.019712
2.591150, 0.117486, 0.019583
2.615696, 0.117222, 0.019475
2.640287, 0.116587, 0.019392
2.664923, 0.115623, 0.019336
2.689605, 0.114366, 0.019310
2.714332, 0.112846, 0.019315
2.739105, 0.111084, 0.019352
2.763924, 0.109095, 0.019423
2.788789, 0.106889, 0.019529
2.813699, 0.104465, 0.019674
2.838656, 0.101824, 0.019858
2.863659, 0.098963, 0.020084
2.888708, 0.095884, 0.020356
2.913804, 0.092593, 0.020673
2.938946, 0.089104, 0.021036
2.964135, 0.085440, 0.021439
2.989371, 0.081637, 0.021874
3.014654, 0.077739, 0.022327
3.039985, 0.073800, 0.022773
3.065362, 0.069875, 0.023184
3.090787, 0.066020, 0.023522
3.116260, 0.062285, 0.023744
3.141780, 0.058715, 0.023809
3.167348, 0.055349, 0.023681
3.192965, 0.052222, 0.023342
3.218629, 0.049361, 0.022798
3.244341, 0.046784, 0.022079
3.270102, 0.044507, 0.021238
3.295911, 0.042536, 0.020340
3.321769, 0.040875, 0.019451
3.347676, 0.039522, 0.018625
3.373632, 0.038473, 0.017903
3.399636, 0.037720, 0.017312
3.425690, 0.037254, 0.016863
3.451793, 0.037064, 0.016560
3.477946, 0.037135, 0.016397
3.504149, 0.037453, 0.016367
3.530401, 0.037997, 0.016459
