# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000106, 0.000031
0.040066, 0.000213, 0.000062
0.060149, 0.000320, 0.000093
0.080266, 0.000428, 0.000125
0.100416, 0.000536, 0.000156
0.120599, 0.000644, 0.000188
0.140817, 0.000754, 0.000220
0.161067, 0.000864, 0.000252
0.181352, 0.000975, 0.000284
0.201671, 0.001088, 0.000317
0.222023, 0.001201, 0.000350
0.242410, 0.001316, 0.000383
0.262831, 0.001433, 0.000417
0.283286, 0.001551, 0.000451
0.303775, 0.001670, 0.000486
0.324299, 0.001792, 0.000521
0.344857, 0.001916, 0.000557
0.365449, 0.002041, 0.000593
0.386077, 0.002169, 0.000630
0.406739, 0.002300, 0.000668
0.427436, 0.002434, 0.000707
0.448168, 0.002570, 0.000746
0.468935, 0.002710, 0.000786
0.489737, 0.002853, 0.000827
0.510574, 0.002999, 0.000870
0.531447, 0.003150, 0.000913
0.552355, 0.003305, 0.000957
0.573298, 0.003464, 0.001003
0.594277, 0.003629, 0.001050
0.615292, 0.003799, 0.001099
0.636342, 0.003974, 0.001149
0.657428, 0.004156, 0.001202
0.678550, 0.004344, 0.001256
0.699708, 0.004539, 0.001312
0.720903, 0.004743, 0.001370
0.742133, 0.004955, 0.001431
0.763400, 0.005176, 0.001494
0.784703, 0.005407, 0.001561
0.806042, 0.005649, 0.001630
0.827418, 0.005903, 0.001703
0.848831, 0.006170, 0.001780
0.870280, 0.006451, 0.001861
0.891767, 0.006748, 0.001947
0.913290, 0.007062, 0.002038
0.934850, 0.007396, 0.002135
0.956448, 0.007751, 0.002238
0.978083, 0.008129, 0.002348
0.999755, 0.008533, 0.002466
1.021464, 0.008967, 0.002593
1.043211, 0.009432, 0.002730
1.064996, 0.009933, 0.002877
1.086818, 0.010473, 0.003036
1.108678, 0.011056, 0.003208
1.130576, 0.011688, 0.003395
1.152512, 0.012374, 0.003597
1.174487, 0.013118, 0.003816
1.196499, 0.013927, 0.004055
1.218550, 0.014807, 0.004314
1.240639, 0.015767, 0.004595
1.262767, 0.016811, 0.004901
1.284933, 0.017950, 0.005233
1.307138, 0.019191, 0.005593
1.329382, 0.020541, 0.005983
1.351664, 0.022009, 0.006405
1.373986, 0.023600, 0.006860
1.396347, 0.025321, 0.007347
1.418747, 0.027171, 0.007867
1.441186, 0.029150, 0.008417
1.463665, 0.031250, 0.008993
1.486184, 0.033458, 0.009593
1.508742, 0.035757, 0.010210
1.531339, 0.038126, 0.010837
1.553977, 0.040540, 0.011468
1.576655, 0.042974, 0.012097
1.599372, 0.045400, 0.012715
1.622130, 0.047797, 0.013319
1.644928, 0.050145, 0.013905
1.667767, 0.052431, 0.014469
1.690646, 0.054644, 0.015013
1.713565, 0.056780, 0.015537
1.736525, 0.058836, 0.016044
1.759526, 0.060812, 0.016537
1.782568, 0.062709, 0.017018
1.805651, 0.064529, 0.017491
1.828776, 0.066274, 0.017958
1.851941, 0.067946, 0.018420
1.875148, 0.069551, 0.018877
1.898396, 0.071093, 0.019330
