# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000123, 0.000110
0.040066, 0.000246, 0.000220
0.060149, 0.000369, 0.000330
0.080266, 0.000493, 0.000441
0.100416, 0.000618, 0.000553
0.120599, 0.000743, 0.000665
0.140817, 0.000870, 0.000777
0.161067, 0.000997, 0.000891
0.181352, 0.001125, 0.001006
0.201671, 0.001255, 0.001121
0.222023, 0.001385, 0.001238
0.242410, 0.001518, 0.001356
0.262831, 0.001651, 0.001476
0.283286, 0.001787, 0.001597
0.303775, 0.001925, 0.001719
0.324299, 0.002064, 0.001844
0.344857, 0.002206, 0.001970
0.365449, 0.002351, 0.002099
0.386077, 0.002498, 0.002229
0.406739, 0.002648, 0.002363
0.427436, 0.002801, 0.002499
0.448168, 0.002957, 0.002638
0.468935, 0.003117, 0.002780
0.489737, 0.003281, 0.002925
0.510574, 0.003449, 0.003075
0.531447, 0.003622, 0.003228
0.552355, 0.003800, 0.003385
0.573298, 0.003983, 0.003548
0.594277, 0.004172, 0.003715
0.615292, 0.004368, 0.003888
0.636342, 0.004570, 0.004067
0.657428, 0.004780, 0.004252
0.678550, 0.004999, 0.004445
0.699708, 0.005226, 0.004646
0.720903, 0.005463, 0.004855
0.742133, 0.005712, 0.005074
0.763400, 0.005972, 0.005303
0.784703, 0.006246, 0.005544
0.806042, 0.006535, 0.005798
0.827418, 0.006840, 0.006066
0.848831, 0.007164, 0.006351
0.870280, 0.007508, 0.006653
0.891767, 0.007874, 0.006975
0.913290, 0.008267, 0.007319
0.934850, 0.008687, 0.007687
0.956448, 0.009138, 0.008083
0.978083, 0.009624, 0.008509
0.999755, 0.010147, 0.008967
1.021464, 0.010709, 0.009460
1.043211, 0.011313, 0.009989
1.064996, 0.011960, 0.010555
1.086818, 0.012649, 0.011157
1.108678, 0.013378, 0.011795
1.130576, 0.014147, 0.012467
1.152512, 0.014954, 0.013170
1.174487, 0.015795, 0.013904
1.196499, 0.016670, 0.014666
1.218550, 0.017580, 0.015457
1.240639, 0.018525, 0.016277
1.262767, 0.019508, 0.017130
1.284933, 0.020531, 0.018018
1.307138, 0.021598, 0.018943
1.329382, 0.022711, 0.019909
1.351664, 0.023875, 0.020920
1.373986, 0.025092, 0.021979
1.396347, 0.026366, 0.023089
1.418747, 0.027701, 0.024254
1.441186, 0.029099, 0.025477
1.463665, 0.030563, 0.026758
1.486184, 0.032093, 0.028098
1.508742, 0.033689, 0.029494
1.531339, 0.035347, 0.030943
1.553977, 0.037057, 0.032435
1.576655, 0.038810, 0.033960
1.599372, 0.040588, 0.035504
1.622130, 0.042372, 0.037049
1.644928, 0.044141, 0.038576
1.667767, 0.045873, 0.040065
1.690646, 0.047549, 0.041498
1.713565, 0.049156, 0.042862
1.736525, 0.050688, 0.044150
1.759526, 0.052148, 0.045362
1.782568, 0.053544, 0.046504
1.805651, 0.054895, 0.047590
1.828776, 0.056218, 0.048635
1.851941, 0.057538, 0.049660
1.875148, 0.058875, 0.050684
1.898396, 0.060252, 0.051725
1.921686, 0.061685, 0.052801
1.945017, 0.063192, 0.053925
1.968391, 0.064780, 0.055108
1.991806, 0.066454, 0.056354
2.015263, 0.068215, 0.057667
2.038763, 0.070059, 0.059044
2.062305, 0.071981, 0.060480
2.085889, 0.073980, 0.061972
2.109515, 0.076063, 0.063519
2.133184, 0.078242, 0.065127
2.156896, 0.080537, 0.066806
2.180651, 0.082976, 0.068570
2.204449, 0.085584, 0.070437
2.228289, 0.088386, 0.072423
2.252173, 0.091403, 0.074541
2.276101, 0.094647, 0.076801
2.300071, 0.098119, 0.079204
2.324086, 0.101814, 0.081748
2.348143, 0.105714, 0.084421
2.372245, 0.109801, 0.087209
2.396391, 0.114056, 0.090099
2.420580, 0.118466, 0.093080
2.444814, 0.123033, 0.096156
2.469092, 0.127778, 0.099342
2.493414, 0.132735, 0.102671
2.517781, 0.137948, 0.106188
2.542192, 0.143463, 0.109952
2.566649, 0.149309, 0.114022
2.591150, 0.155493, 0.118456
2.615696, 0.161974, 0.123301
2.640287, 0.168658, 0.128584
2.664923, 0.175374, 0.134304
2.689605, 0.181869, 0.140416
2.714332, 0.187797, 0.146822
2.739105, 0.192727, 0.153353
2.763924, 0.196174, 0.159751
2.788789, 0.197644, 0.165660
2.813699, 0.196720, 0.170623
2.838656, 0.193145, 0.174113
2.863659, 0.186906, 0.175591
2.888708, 0.178260, 0.174614
2.913804, 0.167703, 0.170939
2.938946, 0.155881, 0.164619
2.964135, 0.143473, 0.156017
2.989371, 0.131096, 0.145742
3.014654, 0.119235, 0.134519
3.039985, 0.108225, 0.123054
3.065362, 0.098253, 0.111925
3.090787, 0.089393, 0.101540
3.116260, 0.081636, 0.092135
3.141780, 0.074918, 0.083806
3.167348, 0.069152, 0.076552
3.192965, 0.064240, 0.070315
3.218629, 0.060087, 0.065006
3.244341, 0.056605, 0.060530
3.270102, 0.053717, 0.056791
3.295911, 0.051360, 0.053706
3.321769, 0.049477, 0.051199
3.347676, 0.048022, 0.049205
3.373632, 0.046952, 0.047665
3.399636, 0.046225, 0.046527
3.425690, 0.045802, 0.045738
3.451793, 0.045640, 0.045249
3.477946, 0.045696, 0.045012
3.504149, 0.045930, 0.044981
3.530401, 0.046299, 0.045113
3.556703, 0.046769, 0.045369
3.583055, 0.047306, 0.045715
