E, eV	P1	P2	P3	E	P4
-9.80341490097397	0.0104520012585618	0	9.04359958144402E-4	-11.1	1.88897310363859E-5
-9.70341490097397	0.010445199841382	9.43912958027679E-7	9.06243460062783E-4	-11	2.7151391575878E-5
-9.60341490097397	0.0104546360417936	1.87526706034341E-6	9.07966515521451E-4	-10.9	2.17138480690318E-5
-9.50341490097397	0.0104935144129702	2.78136619598157E-6	9.09626787582839E-4	-10.8	7.91996383800487E-6
-9.40341490097397	0.0105446169528618	3.65425813868193E-6	9.11321939309383E-4	-10.7	0
-9.30341490097397	0.0105815958291504	4.50144045667689E-6	9.13072898500175E-4	-10.6	5.66162683854936E-6
-9.20341490097397	0.0106258050408192	5.33312150945908E-6	9.14823857690966E-4	-10.5	1.98087131457731E-5
-9.10341490097397	0.0106804308373581	6.16035034494996E-6	9.16400418555982E-4	-10.4	2.77579445886572E-5
-9.00341490097397	0.0107150506635437	6.98369314107094E-6	9.17663062434601E-4	-10.3	2.29791290297901E-5
-8.90341490097397	0.0107475258987267	7.80394769398407E-6	9.18590861527729E-4	-10.2	8.18001116121601E-6
-8.80341490097397	0.0107363740255129	8.61860051685629E-6	9.19372166027206E-4	-10.1	5.6001183297087E-6
-8.70341490097397	0.0106353637892882	9.42926435891836E-6	9.20251133589118E-4	-10	0.00308256135983014
-8.60341490097397	0.0104258372483295	1.02290335652194E-5	9.21332403208929E-4	-9.9	0.00328471984264859
-8.50341490097397	0.0101694973494844	1.1009758605072E-5	9.22483432159051E-4	-9.8	0.00349109265373144
-8.40341490097397	0.00995819386169496	1.17589149365776E-5	9.23439134984304E-4	-9.7	0.00371776146289749
-8.30340490097397	0.00984989201606124	1.24774461896053E-5	9.23997209626788E-4	-9.59999	0.00396981966074849
-8.20340490097397	0.0098175699659499	1.31744455247116E-5	9.24199511684688E-4	-9.49999	0.00424313048334394
-8.10340490097397	0.00988135622977152	1.38701580918146E-5	9.24262295081967E-4	-9.39999	0.00451778575422005
-8.00340490097397	0.0100056199598678	1.45758216648095E-5	9.24436693407743E-4	-9.29999	0.00477713499851623
-7.90340490097397	0.0101607351633879	1.52937524261024E-5	9.2481339379142E-4	-9.19999	0.00502014402524734
-7.80340490097397	0.0103282277206947	1.60083375905867E-5	9.25294733170562E-4	-9.09999	0.00526211886099332
-7.70340490097397	0.0104599362452716	1.6705336925693E-5	9.25650505755145E-4	-8.99999	0.00551761574386989
-7.60340490097397	0.0105541757013308	1.73722258895227E-5	9.25692361353331E-4	-8.89999	0.0057866863834263
-7.50340490097397	0.0106037770275206	1.80144089076895E-5	9.25371468433903E-4	-8.79999	0.00605430915560352
-7.40340490097397	0.0106183602463386	1.86397781572803E-5	9.24834321590513E-4	-8.69999	0.00630621222480676
-7.30340490097397	0.0106270611584065	1.92606866111263E-5	9.24297174747123E-4	-8.59999	0.00654482593985107
-7.20340490097397	0.0106380598465486	1.98754185785567E-5	9.2394837809557E-4	-8.49999	0.00679419524114073
-7.10340490097397	0.010595290574553	2.04827730761016E-5	9.23780955702825E-4	-8.39999	0.00708785377136862
-7.00340490097397	0.0105232935908927	2.10775172472144E-5	9.23620509243111E-4	-8.29999	0.00744912253724944
-6.90340490097397	0.0104864678996758	2.16696878823207E-5	9.23215905127311E-4	-8.19999	0.00787497653015168
-6.80340490097397	0.0105438203904894	2.22645178379671E-5	9.22434600627834E-4	-8.09999	0.0083358378879006
-6.70340490097397	0.0106803389263151	2.28647522192273E-5	9.21346355074991E-4	-7.99999	0.00879106290478055
-6.60340490097397	0.0108618325991678	2.34498027380488E-5	9.202023020579E-4	-7.89999	0.00921259915031987
-6.50340490097397	0.0109719113916323	2.40019977805201E-5	9.19211719567492E-4	-7.79999	0.00959959341695582
-6.40340490097397	0.0109897727709829	2.45109574180814E-5	9.18451342867108E-4	-7.69999	0.00997503059933293
-6.30340490097397	0.0109620156360058	2.50007013201271E-5	9.17739797697942E-4	-7.59999	0.0103660065012616
-6.20340490097397	0.0108798778006043	2.54988521064609E-5	9.16846878269969E-4	-7.49999	0.010784621157268
-6.10340490097397	0.0108387935643965	2.60282284630075E-5	9.15591210324381E-4	-7.39999	0.0112242557450471
-6.00340490097397	0.0109212377699411	2.657175926759E-5	9.14028601325427E-4	-7.29999	0.0116734048898894
-5.90340490097397	0.0111258011145794	2.71029370993412E-5	9.12347401464946E-4	-7.19999	0.0121318876083725
-5.80340490097397	0.0113285262383583	2.7592852570454E-5	9.1077084059993E-4	-7.09999	0.0126129932546553
-5.70339490097397	0.0114444260635442	2.80490547198811E-5	9.09410533658877E-4	-6.99998	0.0131289511371371
-5.60339490097397	0.0114457434551601	2.84876710399302E-5	9.08196721311476E-4	-6.89998	0.013675365944131
-5.50339490097397	0.011364861737346	2.89353805205357E-5	9.06927101499826E-4	-6.79998	0.0142313728725119
-5.40339490097397	0.0112523932577643	2.93898669792917E-5	9.05392396232996E-4	-6.69998	0.0147778910986043
-5.30339490097397	0.0111941216565209	2.98473558967221E-5	9.0347401464946E-4	-6.59998	0.0153174802450963
-5.20339490097397	0.0111603596667364	3.02879452610428E-5	9.01276595744681E-4	-6.49998	0.0158777532112909
-5.10339490097397	0.0111575410614186	3.07127502711901E-5	8.99023369375654E-4	-6.39998	0.0164943378766259
-5.00339490097397	0.0111466649213337	3.11167954242178E-5	8.96965469131496E-4	-6.29998	0.0171860823718053
-4.90339490097397	0.0111284665348256	3.15155219361654E-5	8.9518660620858E-4	-6.19998	0.0179392319567268
