# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000117, 0.000032
0.040066, 0.000235, 0.000065
0.060149, 0.000353, 0.000097
0.080266, 0.000472, 0.000130
0.100416, 0.000591, 0.000163
0.120599, 0.000711, 0.000196
0.140817, 0.000832, 0.000229
0.161067, 0.000953, 0.000262
0.181352, 0.001076, 0.000296
0.201671, 0.001200, 0.000330
0.222023, 0.001325, 0.000364
0.242410, 0.001452, 0.000399
0.262831, 0.001580, 0.000434
0.283286, 0.001710, 0.000470
0.303775, 0.001842, 0.000506
0.324299, 0.001976, 0.000542
0.344857, 0.002112, 0.000579
0.365449, 0.002251, 0.000617
0.386077, 0.002392, 0.000656
0.406739, 0.002535, 0.000695
0.427436, 0.002682, 0.000735
0.448168, 0.002832, 0.000775
0.468935, 0.002986, 0.000817
0.489737, 0.003143, 0.000860
0.510574, 0.003304, 0.000903
0.531447, 0.003469, 0.000948
0.552355, 0.003639, 0.000994
0.573298, 0.003813, 0.001041
0.594277, 0.003994, 0.001090
0.615292, 0.004179, 0.001140
0.636342, 0.004371, 0.001192
0.657428, 0.004570, 0.001246
0.678550, 0.004776, 0.001301
0.699708, 0.004989, 0.001359
0.720903, 0.005211, 0.001419
0.742133, 0.005442, 0.001482
0.763400, 0.005683, 0.001547
0.784703, 0.005935, 0.001615
0.806042, 0.006198, 0.001687
0.827418, 0.006474, 0.001762
0.848831, 0.006765, 0.001841
0.870280, 0.007070, 0.001925
0.891767, 0.007393, 0.002013
0.913290, 0.007734, 0.002107
0.934850, 0.008096, 0.002207
0.956448, 0.008481, 0.002314
0.978083, 0.008890, 0.002428
0.999755, 0.009329, 0.002550
1.021464, 0.009798, 0.002682
1.043211, 0.010303, 0.002825
1.064996, 0.010846, 0.002979
1.086818, 0.011433, 0.003147
1.108678, 0.012069, 0.003329
1.130576, 0.012758, 0.003528
1.152512, 0.013506, 0.003746
1.174487, 0.014319, 0.003984
1.196499, 0.015202, 0.004244
1.218550, 0.016162, 0.004527
1.240639, 0.017202, 0.004836
1.262767, 0.018328, 0.005172
1.284933, 0.019545, 0.005537
1.307138, 0.020858, 0.005932
1.329382, 0.022272, 0.006358
1.351664, 0.023791, 0.006816
1.373986, 0.025418, 0.007306
1.396347, 0.027159, 0.007827
1.418747, 0.029014, 0.008377
1.441186, 0.030984, 0.008953
1.463665, 0.033066, 0.009548
1.486184, 0.035254, 0.010156
1.508742, 0.037535, 0.010769
1.531339, 0.039895, 0.011378
1.553977, 0.042314, 0.011973
1.576655, 0.044769, 0.012545
1.599372, 0.047240, 0.013087
1.622130, 0.049707, 0.013593
1.644928, 0.052158, 0.014060
1.667767, 0.054585, 0.014488
1.690646, 0.056987, 0.014880
1.713565, 0.059368, 0.015238
1.736525, 0.061733, 0.015569
1.759526, 0.064086, 0.015877
1.782568, 0.066428, 0.016167
1.805651, 0.068755, 0.016444
1.828776, 0.071058, 0.016711
1.851941, 0.073327, 0.016973
1.875148, 0.075549, 0.017231
1.898396, 0.077714, 0.017488
1.921686, 0.079821, 0.017745
1.945017, 0.081876, 0.018000
1.968391, 0.083892, 0.018254
1.991806, 0.085893, 0.018505
2.015263, 0.087905, 0.018748
2.038763, 0.089957, 0.018983
2.062305, 0.092075, 0.019207
2.085889, 0.094279, 0.019416
2.109515, 0.096583, 0.019610
2.133184, 0.098995, 0.019785
2.156896, 0.101518, 0.019938
2.180651, 0.104151, 0.020069
2.204449, 0.106896, 0.020175
2.228289, 0.109747, 0.020260
2.252173, 0.112700, 0.020329
2.276101, 0.115738, 0.020388
2.300071, 0.118838, 0.020443
2.324086, 0.121965, 0.020501
2.348143, 0.125080, 0.020562
2.372245, 0.128143, 0.020627
2.396391, 0.131120, 0.020693
2.420580, 0.133986, 0.020757
2.444814, 0.136723, 0.020818
2.469092, 0.139323, 0.020875
2.493414, 0.141782, 0.020929
2.517781, 0.144094, 0.020983
2.542192, 0.146249, 0.021041
2.566649, 0.148226, 0.021107
2.591150, 0.149996, 0.021184
2.615696, 0.151514, 0.021277
