# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000108, 0.000038
0.040066, 0.000215, 0.000075
0.060149, 0.000324, 0.000113
0.080266, 0.000432, 0.000151
0.100416, 0.000542, 0.000189
0.120599, 0.000651, 0.000228
0.140817, 0.000762, 0.000266
0.161067, 0.000873, 0.000305
0.181352, 0.000986, 0.000344
0.201671, 0.001099, 0.000384
0.222023, 0.001213, 0.000423
0.242410, 0.001329, 0.000463
0.262831, 0.001446, 0.000504
0.283286, 0.001564, 0.000545
0.303775, 0.001684, 0.000586
0.324299, 0.001806, 0.000628
0.344857, 0.001930, 0.000671
0.365449, 0.002056, 0.000714
0.386077, 0.002184, 0.000758
0.406739, 0.002314, 0.000802
0.427436, 0.002447, 0.000848
0.448168, 0.002583, 0.000894
0.468935, 0.002722, 0.000941
0.489737, 0.002864, 0.000989
0.510574, 0.003009, 0.001038
0.531447, 0.003158, 0.001088
0.552355, 0.003311, 0.001139
0.573298, 0.003468, 0.001191
0.594277, 0.003630, 0.001245
0.615292, 0.003797, 0.001301
0.636342, 0.003970, 0.001358
0.657428, 0.004148, 0.001417
0.678550, 0.004332, 0.001478
0.699708, 0.004524, 0.001541
0.720903, 0.004723, 0.001606
0.742133, 0.004930, 0.001674
0.763400, 0.005146, 0.001744
0.784703, 0.005371, 0.001818
0.806042, 0.005607, 0.001895
0.827418, 0.005855, 0.001975
0.848831, 0.006116, 0.002060
0.870280, 0.006390, 0.002149
0.891767, 0.006680, 0.002243
0.913290, 0.006987, 0.002342
0.934850, 0.007313, 0.002448
0.956448, 0.007660, 0.002560
0.978083, 0.008029, 0.002680
0.999755, 0.008425, 0.002808
1.021464, 0.008848, 0.002945
1.043211, 0.009302, 0.003092
1.064996, 0.009789, 0.003251
1.086818, 0.010314, 0.003422
1.108678, 0.010878, 0.003606
1.130576, 0.011487, 0.003805
1.152512, 0.012143, 0.004020
1.174487, 0.012852, 0.004253
1.196499, 0.013617, 0.004505
1.218550, 0.014445, 0.004778
1.240639, 0.015342, 0.005074
1.262767, 0.016312, 0.005394
1.284933, 0.017362, 0.005739
1.307138, 0.018499, 0.006111
1.329382, 0.019728, 0.006509
1.351664, 0.021053, 0.006934
1.373986, 0.022479, 0.007385
1.396347, 0.024006, 0.007860
1.418747, 0.025633, 0.008358
1.441186, 0.027358, 0.008875
1.463665, 0.029173, 0.009409
1.486184, 0.031071, 0.009957
1.508742, 0.033040, 0.010513
1.531339, 0.035068, 0.011075
1.553977, 0.037141, 0.011637
1.576655, 0.039244, 0.012195
1.599372, 0.041363, 0.012746
1.622130, 0.043484, 0.013284
1.644928, 0.045594, 0.013807
1.667767, 0.047680, 0.014311
1.690646, 0.049731, 0.014794
1.713565, 0.051735, 0.015254
1.736525, 0.053681, 0.015687
1.759526, 0.055556, 0.016093
1.782568, 0.057348, 0.016468
1.805651, 0.059045, 0.016808
1.828776, 0.060635, 0.017111
1.851941, 0.062109, 0.017375
1.875148, 0.063463, 0.017597
1.898396, 0.064698, 0.017778
1.921686, 0.065820, 0.017922
1.945017, 0.066842, 0.018033
1.968391, 0.067780, 0.018119
1.991806, 0.068652, 0.018189
2.015263, 0.069481, 0.018253
2.038763, 0.070295, 0.018318
2.062305, 0.071124, 0.018394
2.085889, 0.072001, 0.018488
2.109515, 0.072964, 0.018603
2.133184, 0.074048, 0.018741
2.156896, 0.075292, 0.018901
2.180651, 0.076728, 0.019079
2.204449, 0.078387, 0.019268
2.228289, 0.080288, 0.019459
2.252173, 0.082439, 0.019641
2.276101, 0.084832, 0.019802
2.300071, 0.087444, 0.019932
2.324086, 0.090233, 0.020022
2.348143, 0.093141, 0.020066
2.372245, 0.096095, 0.020059
2.396391, 0.099009, 0.020000
2.420580, 0.101790, 0.019890
2.444814, 0.104342, 0.019730
2.469092, 0.106580, 0.019527
2.493414, 0.108432, 0.019286
2.517781, 0.109848, 0.019017
2.542192, 0.110805, 0.018728
2.566649, 0.111303, 0.018431
2.591150, 0.111361, 0.018134
2.615696, 0.111013, 0.017847
2.640287, 0.110299, 0.017577
2.664923, 0.109259, 0.017328
2.689605, 0.107931, 0.017106
2.714332, 0.106344, 0.016913
2.739105, 0.104521, 0.016751
2.763924, 0.102476, 0.016623
2.788789, 0.100219, 0.016530
2.813699, 0.097755, 0.016474
2.838656, 0.095087, 0.016456
2.863659, 0.092219, 0.016479
2.888708, 0.089156, 0.016545
2.913804, 0.085910, 0.016653
2.938946, 0.082499, 0.016805
2.964135, 0.078951, 0.016995
2.989371, 0.075306, 0.017218
3.014654, 0.071607, 0.017462
3.039985, 0.067903, 0.017710
3.065362, 0.064245, 0.017942
3.090787, 0.060680, 0.018128
3.116260, 0.057251, 0.018239
3.141780, 0.053995, 0.018243
3.167348, 0.050946, 0.018117
3.192965, 0.048129, 0.017849
3.218629, 0.045567, 0.017446
3.244341, 0.043274, 0.016934
