# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000134, 0.000070
0.040066, 0.000269, 0.000141
0.060149, 0.000404, 0.000212
0.080266, 0.000539, 0.000283
0.100416, 0.000675, 0.000354
0.120599, 0.000812, 0.000426
0.140817, 0.000950, 0.000498
0.161067, 0.001089, 0.000571
0.181352, 0.001229, 0.000644
0.201671, 0.001371, 0.000717
0.222023, 0.001514, 0.000792
0.242410, 0.001658, 0.000867
0.262831, 0.001804, 0.000943
0.283286, 0.001952, 0.001020
0.303775, 0.002102, 0.001098
0.324299, 0.002254, 0.001177
0.344857, 0.002409, 0.001257
0.365449, 0.002566, 0.001338
0.386077, 0.002727, 0.001420
0.406739, 0.002890, 0.001504
0.427436, 0.003056, 0.001589
0.448168, 0.003226, 0.001676
0.468935, 0.003400, 0.001765
0.489737, 0.003577, 0.001855
0.510574, 0.003759, 0.001948
0.531447, 0.003946, 0.002043
0.552355, 0.004138, 0.002140
0.573298, 0.004335, 0.002239
0.594277, 0.004538, 0.002342
0.615292, 0.004748, 0.002447
0.636342, 0.004964, 0.002555
0.657428, 0.005188, 0.002667
0.678550, 0.005420, 0.002782
0.699708, 0.005660, 0.002902
0.720903, 0.005911, 0.003025
0.742133, 0.006171, 0.003154
0.763400, 0.006443, 0.003288
0.784703, 0.006727, 0.003427
0.806042, 0.007024, 0.003573
0.827418, 0.007336, 0.003725
0.848831, 0.007665, 0.003885
0.870280, 0.008011, 0.004053
0.891767, 0.008377, 0.004231
0.913290, 0.008765, 0.004418
0.934850, 0.009177, 0.004616
0.956448, 0.009614, 0.004826
0.978083, 0.010080, 0.005049
0.999755, 0.010576, 0.005286
1.021464, 0.011105, 0.005539
1.043211, 0.011668, 0.005807
1.064996, 0.012269, 0.006093
1.086818, 0.012908, 0.006397
1.108678, 0.013588, 0.006720
1.130576, 0.014310, 0.007064
1.152512, 0.015079, 0.007430
1.174487, 0.015896, 0.007819
1.196499, 0.016767, 0.008235
1.218550, 0.017695, 0.008679
1.240639, 0.018685, 0.009155
1.262767, 0.019744, 0.009665
1.284933, 0.020877, 0.010214
1.307138, 0.022089, 0.010806
1.329382, 0.023388, 0.011443
1.351664, 0.024779, 0.012131
1.373986, 0.026268, 0.012873
1.396347, 0.027861, 0.013674
1.418747, 0.029567, 0.014537
1.441186, 0.031390, 0.015465
1.463665, 0.033337, 0.016461
1.486184, 0.035412, 0.017527
1.508742, 0.037617, 0.018661
1.531339, 0.039952, 0.019861
1.553977, 0.042410, 0.021119
1.576655, 0.044983, 0.022426
1.599372, 0.047656, 0.023769
1.622130, 0.050412, 0.025130
1.644928, 0.053231, 0.026495
1.667767, 0.056094, 0.027846
1.690646, 0.058985, 0.029170
1.713565, 0.061894, 0.030460
1.736525, 0.064818, 0.031713
1.759526, 0.067760, 0.032930
1.782568, 0.070727, 0.034117
1.805651, 0.073723, 0.035278
1.828776, 0.076752, 0.036417
1.851941, 0.079808, 0.037534
1.875148, 0.082882, 0.038628
1.898396, 0.085958, 0.039693
1.921686, 0.089017, 0.040723
1.945017, 0.092043, 0.041710
1.968391, 0.095020, 0.042643
1.991806, 0.097937, 0.043512
2.015263, 0.100786, 0.044307
2.038763, 0.103566, 0.045020
2.062305, 0.106277, 0.045644
2.085889, 0.108923, 0.046175
2.109515, 0.111508, 0.046612
2.133184, 0.114036, 0.046960
2.156896, 0.116511, 0.047226
2.180651, 0.118935, 0.047420
2.204449, 0.121317, 0.047556
2.228289, 0.123663, 0.047649
2.252173, 0.125985, 0.047714
2.276101, 0.128294, 0.047765
2.300071, 0.130598, 0.047809
2.324086, 0.132902, 0.047853
2.348143, 0.135208, 0.047897
2.372245, 0.137513, 0.047938
2.396391, 0.139821, 0.047975
2.420580, 0.142144, 0.048006
2.444814, 0.144507, 0.048035
2.469092, 0.146952, 0.048072
2.493414, 0.149529, 0.048136
2.517781, 0.152288, 0.048252
2.542192, 0.155273, 0.048449
2.566649, 0.158511, 0.048756
2.591150, 0.162007, 0.049207
2.615696, 0.165736, 0.049832
2.640287, 0.169631, 0.050660
2.664923, 0.173576, 0.051719
2.689605, 0.177397, 0.053035
2.714332, 0.180868, 0.054630
2.739105, 0.183718, 0.056525
2.763924, 0.185650, 0.058740
2.788789, 0.186369, 0.061293
2.813699, 0.185614, 0.064195
2.838656, 0.183196, 0.067451
2.863659, 0.179024, 0.071045
2.888708, 0.173134, 0.074931
2.913804, 0.165689, 0.079009
2.938946, 0.156964, 0.083110
2.964135, 0.147316, 0.086976
2.989371, 0.137136, 0.090257
3.014654, 0.126810, 0.092542
3.039985, 0.116681, 0.093427
3.065362, 0.107025, 0.092626
3.090787, 0.098042, 0.090068
3.116260, 0.089856, 0.085945
3.141780, 0.082524, 0.080665
3.167348, 0.076054, 0.074736
3.192965, 0.070414, 0.068643
3.218629, 0.065555, 0.062772
3.244341, 0.061412, 0.057372
3.270102, 0.057922, 0.052575
3.295911, 0.055023, 0.048426
3.321769, 0.052658, 0.044915
3.347676, 0.050780, 0.041999
3.373632, 0.049348, 0.039628
3.399636, 0.048330, 0.037747
3.425690, 0.047697, 0.036304
3.451793, 0.047421, 0.035251
3.477946, 0.047472, 0.034541
3.504149, 0.047818, 0.034129
3.530401, 0.048418, 0.033971
3.556703, 0.049234, 0.034025
3.583055, 0.050227, 0.034252
3.609457, 0.051362, 0.034620
3.635910, 0.052616, 0.035105
3.662413, 0.053970, 0.035688
3.688966, 0.055411, 0.036357
3.715571, 0.056927, 0.037099
3.742226, 0.058506, 0.037907
3.768933, 0.060134, 0.038771
3.795690, 0.061801, 0.039683
3.822499, 0.063492, 0.040635
3.849360, 0.065197, 0.041619
3.876272, 0.066904, 0.042627
3.903236, 0.068600, 0.043650
3.930252, 0.070271, 0.044679
3.957320, 0.071903, 0.045700
3.984440, 0.073483, 0.046704
4.011613, 0.075002, 0.047679
4.038838, 0.076459, 0.048622
4.066116, 0.077863, 0.049534
4.093446, 0.079235, 0.050424
4.120830, 0.080599, 0.051306
4.148267, 0.081981, 0.052194
4.175757, 0.083396, 0.053099
4.203301, 0.084846, 0.054026
4.230898, 0.086322, 0.054971
4.258550, 0.087808, 0.055926
4.286255, 0.089286, 0.056884
4.314014, 0.090747, 0.057839
4.341827, 0.092193, 0.058794
4.369695, 0.093632, 0.059754
4.397618, 0.095078, 0.060730
4.425595, 0.096545, 0.061731
4.453627, 0.098041, 0.062763
4.481714, 0.099565, 0.063829
4.509857, 0.101105, 0.064924
4.538054, 0.102641, 0.066038
4.566308, 0.104153, 0.067156
4.594617, 0.105623, 0.068267
4.622982, 0.107045, 0.069360
4.651403, 0.108428, 0.070433
4.679880, 0.109789, 0.071492
4.708414, 0.111156, 0.072547
4.737004, 0.112555, 0.073612
4.765651, 0.114012, 0.074702
4.794355, 0.115552, 0.075833
4.823116, 0.117200, 0.077024
4.851934, 0.118974, 0.078288
4.880809, 0.120889, 0.079641
4.909742, 0.122961, 0.081097
4.938733, 0.125202, 0.082671
4.967782, 0.127634, 0.084384
4.996889, 0.130277, 0.086257
5.026054, 0.133152, 0.088315
5.055277, 0.136274, 0.090578
5.084559, 0.139649, 0.093060
5.113900, 0.143273, 0.095771
5.143300, 0.147124, 0.098712
5.172759, 0.151154, 0.101876
5.202277, 0.155291, 0.105242
5.231855, 0.159435, 0.108775
5.261493, 0.163472, 0.112424
5.291190, 0.167289, 0.116128
