# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000095, 0.000034
0.040066, 0.000190, 0.000068
0.060149, 0.000286, 0.000102
0.080266, 0.000382, 0.000136
0.100416, 0.000478, 0.000171
0.120599, 0.000575, 0.000205
0.140817, 0.000672, 0.000240
0.161067, 0.000771, 0.000275
0.181352, 0.000870, 0.000310
0.201671, 0.000969, 0.000346
0.222023, 0.001070, 0.000382
0.242410, 0.001172, 0.000418
0.262831, 0.001275, 0.000455
0.283286, 0.001379, 0.000492
0.303775, 0.001484, 0.000529
0.324299, 0.001591, 0.000567
0.344857, 0.001700, 0.000606
0.365449, 0.001810, 0.000645
0.386077, 0.001922, 0.000685
0.406739, 0.002036, 0.000726
0.427436, 0.002152, 0.000767
0.448168, 0.002271, 0.000809
0.468935, 0.002392, 0.000852
0.489737, 0.002515, 0.000896
0.510574, 0.002642, 0.000941
0.531447, 0.002771, 0.000988
0.552355, 0.002904, 0.001035
0.573298, 0.003040, 0.001084
0.594277, 0.003180, 0.001134
0.615292, 0.003324, 0.001186
0.636342, 0.003473, 0.001239
0.657428, 0.003627, 0.001294
0.678550, 0.003785, 0.001351
0.699708, 0.003949, 0.001411
0.720903, 0.004120, 0.001472
0.742133, 0.004297, 0.001536
0.763400, 0.004481, 0.001604
0.784703, 0.004673, 0.001674
0.806042, 0.004874, 0.001747
0.827418, 0.005084, 0.001825
0.848831, 0.005305, 0.001906
0.870280, 0.005537, 0.001993
0.891767, 0.005781, 0.002084
0.913290, 0.006040, 0.002182
0.934850, 0.006313, 0.002286
0.956448, 0.006604, 0.002397
0.978083, 0.006914, 0.002516
0.999755, 0.007244, 0.002644
1.021464, 0.007598, 0.002783
1.043211, 0.007977, 0.002932
1.064996, 0.008384, 0.003094
1.086818, 0.008822, 0.003270
1.108678, 0.009294, 0.003461
1.130576, 0.009802, 0.003667
1.152512, 0.010351, 0.003891
1.174487, 0.010943, 0.004134
1.196499, 0.011582, 0.004396
1.218550, 0.012272, 0.004679
1.240639, 0.013018, 0.004984
1.262767, 0.013824, 0.005310
1.284933, 0.014695, 0.005659
1.307138, 0.015636, 0.006028
1.329382, 0.016650, 0.006417
1.351664, 0.017742, 0.006825
1.373986, 0.018914, 0.007250
1.396347, 0.020164, 0.007689
1.418747, 0.021492, 0.008139
1.441186, 0.022892, 0.008597
1.463665, 0.024358, 0.009059
1.486184, 0.025882, 0.009523
1.508742, 0.027454, 0.009984
1.531339, 0.029065, 0.010440
1.553977, 0.030703, 0.010890
1.576655, 0.032360, 0.011333
1.599372, 0.034025, 0.011770
1.622130, 0.035692, 0.012201
1.644928, 0.037352, 0.012629
1.667767, 0.039001, 0.013053
1.690646, 0.040634, 0.013475
1.713565, 0.042246, 0.013894
1.736525, 0.043834, 0.014308
1.759526, 0.045393, 0.014716
1.782568, 0.046917, 0.015115
1.805651, 0.048400, 0.015499
1.828776, 0.049832, 0.015863
1.851941, 0.051207, 0.016203
1.875148, 0.052514, 0.016513
1.898396, 0.053747, 0.016792
1.921686, 0.054904, 0.017039
1.945017, 0.055987, 0.017256
1.968391, 0.057004, 0.017449
1.991806, 0.057970, 0.017625
2.015263, 0.058908, 0.017792
2.038763, 0.059840, 0.017958
2.062305, 0.060797, 0.018133
2.085889, 0.061807, 0.018321
2.109515, 0.062899, 0.018529
2.133184, 0.064099, 0.018759
2.156896, 0.065430, 0.019011
2.180651, 0.066908, 0.019282
2.204449, 0.068539, 0.019569
2.228289, 0.070324, 0.019864
2.252173, 0.072250, 0.020160
2.276101, 0.074304, 0.020446
2.300071, 0.076463, 0.020712
2.324086, 0.078705, 0.020948
2.348143, 0.081000, 0.021141
2.372245, 0.083317, 0.021278
2.396391, 0.085618, 0.021348
2.420580, 0.087860, 0.021338
2.444814, 0.089993, 0.021242
2.469092, 0.091964, 0.021053
2.493414, 0.093716, 0.020772
2.517781, 0.095196, 0.020402
2.542192, 0.096358, 0.019953
2.566649, 0.097167, 0.019441
2.591150, 0.097601, 0.018879
2.615696, 0.097652, 0.018285
2.640287, 0.097325, 0.017674
2.664923, 0.096630, 0.017058
2.689605, 0.095586, 0.016450
2.714332, 0.094211, 0.015860
2.739105, 0.092523, 0.015295
2.763924, 0.090540, 0.014762
2.788789, 0.088277, 0.014267
2.813699, 0.085753, 0.013815
2.838656, 0.082989, 0.013408
2.863659, 0.080007, 0.013050
2.888708, 0.076837, 0.012741
2.913804, 0.073515, 0.012481
2.938946, 0.070082, 0.012268
2.964135, 0.066586, 0.012100
2.989371, 0.063077, 0.011971
3.014654, 0.059602, 0.011873
3.039985, 0.056206, 0.011793
3.065362, 0.052927, 0.011716
3.090787, 0.049800, 0.011627
3.116260, 0.046855, 0.011508
3.141780, 0.044117, 0.011346
3.167348, 0.041609, 0.011136
3.192965, 0.039346, 0.010881
3.218629, 0.037340, 0.010596
3.244341, 0.035595, 0.010301
3.270102, 0.034111, 0.010015
3.295911, 0.032880, 0.009759
3.321769, 0.031891, 0.009544
3.347676, 0.031130, 0.009378
3.373632, 0.030581, 0.009264
3.399636, 0.030228, 0.009202
3.425690, 0.030052, 0.009190
3.451793, 0.030039, 0.009227
3.477946, 0.030174, 0.009310
3.504149, 0.030445, 0.009436
3.530401, 0.030844, 0.009606
3.556703, 0.031364, 0.009817
3.583055, 0.032005, 0.010070
3.609457, 0.032766, 0.010365
3.635910, 0.033653, 0.010705
3.662413, 0.034671, 0.011091
3.688966, 0.035827, 0.011525
3.715571, 0.037129, 0.012011
3.742226, 0.038584, 0.012550
3.768933, 0.040193, 0.013140
3.795690, 0.041954, 0.013779
3.822499, 0.043861, 0.014463
3.849360, 0.045901, 0.015184
3.876272, 0.048059, 0.015935
3.903236, 0.050318, 0.016709
3.930252, 0.052658, 0.017500
3.957320, 0.055060, 0.018302
3.984440, 0.057507, 0.019112
4.011613, 0.059982, 0.019927
4.038838, 0.062473, 0.020744
4.066116, 0.064966, 0.021563
4.093446, 0.067448, 0.022385
4.120830, 0.069907, 0.023211
