# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000102, 0.000036
0.040066, 0.000203, 0.000073
0.060149, 0.000305, 0.000109
0.080266, 0.000408, 0.000146
0.100416, 0.000511, 0.000182
0.120599, 0.000614, 0.000219
0.140817, 0.000719, 0.000257
0.161067, 0.000824, 0.000294
0.181352, 0.000929, 0.000332
0.201671, 0.001036, 0.000370
0.222023, 0.001144, 0.000408
0.242410, 0.001253, 0.000447
0.262831, 0.001363, 0.000486
0.283286, 0.001474, 0.000526
0.303775, 0.001587, 0.000566
0.324299, 0.001702, 0.000606
0.344857, 0.001818, 0.000648
0.365449, 0.001937, 0.000690
0.386077, 0.002057, 0.000732
0.406739, 0.002179, 0.000775
0.427436, 0.002304, 0.000819
0.448168, 0.002432, 0.000864
0.468935, 0.002562, 0.000910
0.489737, 0.002695, 0.000957
0.510574, 0.002831, 0.001005
0.531447, 0.002970, 0.001054
0.552355, 0.003113, 0.001104
0.573298, 0.003260, 0.001156
0.594277, 0.003412, 0.001209
0.615292, 0.003568, 0.001264
0.636342, 0.003728, 0.001321
0.657428, 0.003895, 0.001379
0.678550, 0.004066, 0.001440
0.699708, 0.004245, 0.001502
0.720903, 0.004430, 0.001567
0.742133, 0.004622, 0.001635
0.763400, 0.004822, 0.001706
0.784703, 0.005032, 0.001780
0.806042, 0.005250, 0.001857
0.827418, 0.005480, 0.001939
0.848831, 0.005721, 0.002025
0.870280, 0.005974, 0.002115
0.891767, 0.006242, 0.002211
0.913290, 0.006525, 0.002313
0.934850, 0.006826, 0.002422
0.956448, 0.007145, 0.002538
0.978083, 0.007485, 0.002662
0.999755, 0.007848, 0.002796
1.021464, 0.008237, 0.002939
1.043211, 0.008654, 0.003094
1.064996, 0.009102, 0.003261
1.086818, 0.009584, 0.003441
1.108678, 0.010102, 0.003636
1.130576, 0.010660, 0.003847
1.152512, 0.011263, 0.004075
1.174487, 0.011912, 0.004322
1.196499, 0.012614, 0.004588
1.218550, 0.013372, 0.004876
1.240639, 0.014193, 0.005186
1.262767, 0.015080, 0.005520
1.284933, 0.016040, 0.005879
1.307138, 0.017079, 0.006262
1.329382, 0.018201, 0.006670
1.351664, 0.019410, 0.007101
1.373986, 0.020710, 0.007554
1.396347, 0.022099, 0.008027
1.418747, 0.023578, 0.008516
1.441186, 0.025142, 0.009020
1.463665, 0.026786, 0.009534
1.486184, 0.028500, 0.010054
1.508742, 0.030277, 0.010576
1.531339, 0.032103, 0.011097
1.553977, 0.033967, 0.011612
1.576655, 0.035856, 0.012119
1.599372, 0.037758, 0.012618
1.622130, 0.039661, 0.013106
1.644928, 0.041555, 0.013585
1.667767, 0.043431, 0.014053
1.690646, 0.045283, 0.014511
1.713565, 0.047103, 0.014957
1.736525, 0.048885, 0.015391
1.759526, 0.050620, 0.015808
1.782568, 0.052301, 0.016206
1.805651, 0.053917, 0.016578
1.828776, 0.055457, 0.016921
1.851941, 0.056908, 0.017227
1.875148, 0.058260, 0.017495
1.898396, 0.059508, 0.017723
1.921686, 0.060651, 0.017913
1.945017, 0.061697, 0.018070
1.968391, 0.062661, 0.018203
1.991806, 0.063563, 0.018320
2.015263, 0.064428, 0.018432
2.038763, 0.065284, 0.018549
2.062305, 0.066164, 0.018680
2.085889, 0.067099, 0.018831
2.109515, 0.068123, 0.019007
2.133184, 0.069268, 0.019210
2.156896, 0.070564, 0.019439
2.180651, 0.072036, 0.019688
2.204449, 0.073703, 0.019950
2.228289, 0.075572, 0.020216
2.252173, 0.077641, 0.020474
2.276101, 0.079896, 0.020712
2.300071, 0.082314, 0.020917
2.324086, 0.084860, 0.021078
2.348143, 0.087493, 0.021184
2.372245, 0.090159, 0.021227
2.396391, 0.092796, 0.021200
2.420580, 0.095334, 0.021098
2.444814, 0.097698, 0.020920
2.469092, 0.099813, 0.020667
2.493414, 0.101610, 0.020345
2.517781, 0.103033, 0.019963
2.542192, 0.104043, 0.019534
2.566649, 0.104624, 0.019073
2.591150, 0.104783, 0.018594
2.615696, 0.104539, 0.018111
2.640287, 0.103923, 0.017636
2.664923, 0.102968, 0.017178
2.689605, 0.101705, 0.016744
2.714332, 0.100162, 0.016340
2.739105, 0.098361, 0.015970
2.763924, 0.096320, 0.015638
2.788789, 0.094049, 0.015346
2.813699, 0.091558, 0.015097
2.838656, 0.088855, 0.014892
2.863659, 0.085951, 0.014733
2.888708, 0.082860, 0.014622
2.913804, 0.079602, 0.014557
2.938946, 0.076207, 0.014538
2.964135, 0.072710, 0.014560
2.989371, 0.069153, 0.014617
3.014654, 0.065585, 0.014699
3.039985, 0.062053, 0.014789
3.065362, 0.058601, 0.014870
3.090787, 0.055271, 0.014916
3.116260, 0.052100, 0.014905
3.141780, 0.049116, 0.014813
3.167348, 0.046347, 0.014625
3.192965, 0.043813, 0.014339
3.218629, 0.041531, 0.013967
3.244341, 0.039511, 0.013534
3.270102, 0.037759, 0.013073
3.295911, 0.036276, 0.012618
3.321769, 0.035058, 0.012200
3.347676, 0.034096, 0.011839
3.373632, 0.033378, 0.011547
3.399636, 0.032888, 0.011331
3.425690, 0.032611, 0.011191
3.451793, 0.032531, 0.011124
3.477946, 0.032631, 0.011128
3.504149, 0.032901, 0.011198
3.530401, 0.033329, 0.011331
3.556703, 0.033909, 0.011525
3.583055, 0.034640, 0.011779
3.609457, 0.035520, 0.012093
3.635910, 0.036551, 0.012465
3.662413, 0.037734, 0.012894
3.688966, 0.039065, 0.013378
3.715571, 0.040541, 0.013914
3.742226, 0.042151, 0.014493
3.768933, 0.043881, 0.015111
3.795690, 0.045718, 0.015759
3.822499, 0.047645, 0.016432
3.849360, 0.049651, 0.017124
3.876272, 0.051725, 0.017833
3.903236, 0.053862, 0.018556
3.930252, 0.056057, 0.019295
3.957320, 0.058310, 0.020050
3.984440, 0.060618, 0.020822
4.011613, 0.062975, 0.021614
4.038838, 0.065375, 0.022425
4.066116, 0.067805, 0.023258
4.093446, 0.070251, 0.024111
4.120830, 0.072692, 0.024984
4.148267, 0.075107, 0.025873
4.175757, 0.077473, 0.026775
4.203301, 0.079774, 0.027684
4.230898, 0.081998, 0.028597
4.258550, 0.084139, 0.029511
4.286255, 0.086197, 0.030424
4.314014, 0.088175, 0.031335
4.341827, 0.090075, 0.032242
4.369695, 0.091905, 0.033145
4.397618, 0.093668, 0.034044
4.425595, 0.095368, 0.034939
4.453627, 0.097006, 0.035826
4.481714, 0.098580, 0.036701
4.509857, 0.100086, 0.037560
4.538054, 0.101518, 0.038394
4.566308, 0.102870, 0.039193
4.594617, 0.104140, 0.039949
4.622982, 0.105329, 0.040655
4.651403, 0.106451, 0.041307
4.679880, 0.107520, 0.041907
4.708414, 0.108560, 0.042459
4.737004, 0.109592, 0.042970
4.765651, 0.110641, 0.043451
4.794355, 0.111727, 0.043913
4.823116, 0.112869, 0.044367
4.851934, 0.114080, 0.044822
4.880809, 0.115373, 0.045290
4.909742, 0.116757, 0.045783
4.938733, 0.118239, 0.046311
4.967782, 0.119828, 0.046886
4.996889, 0.121528, 0.047517
5.026054, 0.123342, 0.048213
5.055277, 0.125267, 0.048975
5.084559, 0.127289, 0.049804
5.113900, 0.129382, 0.050694
5.143300, 0.131509, 0.051631
5.172759, 0.133633, 0.052603
5.202277, 0.135727, 0.053598
5.231855, 0.137775, 0.054610
5.261493, 0.139775, 0.055640
5.291190, 0.141733, 0.056694
5.320948, 0.143658, 0.057783
5.350766, 0.145555, 0.058923
5.380644, 0.147424, 0.060133
5.410582, 0.149259, 0.061430
5.440582, 0.151052, 0.062829
5.470642, 0.152807, 0.064342
5.500764, 0.154532, 0.065979
5.530947, 0.156234, 0.067757
5.561191, 0.157912, 0.069694
5.591498, 0.159559, 0.071811
5.621866, 0.161164, 0.074119
5.652296, 0.162725, 0.076622
5.682789, 0.164247, 0.079307
5.713343, 0.165753, 0.082150
5.743961, 0.167283, 0.085113
5.774642, 0.168893, 0.088149
5.805385, 0.170642, 0.091204
5.836192, 0.172574, 0.094226
5.867062, 0.174692, 0.097172
5.897996, 0.176949, 0.100017
5.928994, 0.179249, 0.102747
5.960056, 0.181466, 0.105360
5.991182, 0.183470, 0.107861
6.022372, 0.185149, 0.110260
6.053627, 0.186444, 0.112570
6.084947, 0.187359, 0.114808
6.116332, 0.187979, 0.116990
6.147782, 0.188452, 0.119128
6.179298, 0.188961, 0.121232
6.210879, 0.189686, 0.123307
6.242527, 0.190783, 0.125351
6.274240, 0.192368, 0.127362
6.306019, 0.194528, 0.129345
6.337865, 0.197324, 0.131327
6.369778, 0.200797, 0.133363
6.401758, 0.204974, 0.135535
6.433804, 0.209866, 0.137938
6.465918, 0.215480, 0.140660
6.498100, 0.221823, 0.143763
6.530349, 0.228910, 0.147269
6.562666, 0.236778, 0.151152
6.595052, 0.245498, 0.155342
6.627505, 0.255187, 0.159724
