# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000088, 0.000033
0.040066, 0.000177, 0.000067
0.060149, 0.000266, 0.000100
0.080266, 0.000355, 0.000134
0.100416, 0.000445, 0.000168
0.120599, 0.000535, 0.000202
0.140817, 0.000626, 0.000236
0.161067, 0.000717, 0.000271
0.181352, 0.000809, 0.000305
0.201671, 0.000902, 0.000340
0.222023, 0.000996, 0.000376
0.242410, 0.001090, 0.000412
0.262831, 0.001186, 0.000448
0.283286, 0.001282, 0.000484
0.303775, 0.001380, 0.000522
0.324299, 0.001480, 0.000559
0.344857, 0.001580, 0.000598
0.365449, 0.001682, 0.000637
0.386077, 0.001786, 0.000676
0.406739, 0.001892, 0.000717
0.427436, 0.001999, 0.000758
0.448168, 0.002109, 0.000800
0.468935, 0.002221, 0.000843
0.489737, 0.002335, 0.000887
0.510574, 0.002452, 0.000932
0.531447, 0.002571, 0.000978
0.552355, 0.002693, 0.001026
0.573298, 0.002819, 0.001074
0.594277, 0.002948, 0.001125
0.615292, 0.003081, 0.001177
0.636342, 0.003217, 0.001231
0.657428, 0.003358, 0.001287
0.678550, 0.003504, 0.001344
0.699708, 0.003654, 0.001405
0.720903, 0.003810, 0.001467
0.742133, 0.003972, 0.001533
0.763400, 0.004141, 0.001601
0.784703, 0.004316, 0.001673
0.806042, 0.004500, 0.001748
0.827418, 0.004691, 0.001828
0.848831, 0.004892, 0.001912
0.870280, 0.005103, 0.002001
0.891767, 0.005325, 0.002096
0.913290, 0.005560, 0.002197
0.934850, 0.005808, 0.002304
0.956448, 0.006072, 0.002420
0.978083, 0.006352, 0.002545
0.999755, 0.006651, 0.002679
1.021464, 0.006971, 0.002825
1.043211, 0.007314, 0.002983
1.064996, 0.007683, 0.003155
1.086818, 0.008080, 0.003342
1.108678, 0.008509, 0.003546
1.130576, 0.008971, 0.003768
1.152512, 0.009470, 0.004010
1.174487, 0.010009, 0.004273
1.196499, 0.010590, 0.004557
1.218550, 0.011218, 0.004864
1.240639, 0.011895, 0.005192
1.262767, 0.012626, 0.005543
1.284933, 0.013413, 0.005913
1.307138, 0.014259, 0.006302
1.329382, 0.015170, 0.006708
1.351664, 0.016146, 0.007129
1.373986, 0.017189, 0.007560
1.396347, 0.018300, 0.008001
1.418747, 0.019475, 0.008448
1.441186, 0.020711, 0.008899
1.463665, 0.022002, 0.009350
1.486184, 0.023338, 0.009800
1.508742, 0.024713, 0.010246
1.531339, 0.026115, 0.010688
1.553977, 0.027537, 0.011126
1.576655, 0.028972, 0.011560
1.599372, 0.030412, 0.011991
1.622130, 0.031851, 0.012421
1.644928, 0.033286, 0.012851
1.667767, 0.034712, 0.013280
1.690646, 0.036126, 0.013710
1.713565, 0.037527, 0.014139
1.736525, 0.038912, 0.014565
1.759526, 0.040278, 0.014987
1.782568, 0.041622, 0.015403
1.805651, 0.042939, 0.015810
1.828776, 0.044224, 0.016203
1.851941, 0.045474, 0.016581
1.875148, 0.046685, 0.016938
1.898396, 0.047854, 0.017275
1.921686, 0.048981, 0.017588
1.945017, 0.050069, 0.017880
1.968391, 0.051123, 0.018153
1.991806, 0.052153, 0.018413
2.015263, 0.053169, 0.018664
2.038763, 0.054188, 0.018913
2.062305, 0.055229, 0.019165
2.085889, 0.056310, 0.019425
2.109515, 0.057453, 0.019696
2.133184, 0.058677, 0.019979
2.156896, 0.059997, 0.020273
2.180651, 0.061422, 0.020577
2.204449, 0.062957, 0.020889
2.228289, 0.064597, 0.021205
2.252173, 0.066334, 0.021521
2.276101, 0.068154, 0.021831
2.300071, 0.070040, 0.022129
2.324086, 0.071973, 0.022404
2.348143, 0.073935, 0.022645
2.372245, 0.075904, 0.022837
2.396391, 0.077860, 0.022964
2.420580, 0.079781, 0.023008
2.444814, 0.081641, 0.022956
2.469092, 0.083412, 0.022798
2.493414, 0.085063, 0.022528
2.517781, 0.086559, 0.022149
2.542192, 0.087861, 0.021670
2.566649, 0.088929, 0.021103
2.591150, 0.089718, 0.020463
2.615696, 0.090189, 0.019764
2.640287, 0.090304, 0.019023
2.664923, 0.090035, 0.018254
2.689605, 0.089366, 0.017471
2.714332, 0.088290, 0.016691
2.739105, 0.086812, 0.015925
2.763924, 0.084944, 0.015186
2.788789, 0.082712, 0.014485
2.813699, 0.080148, 0.013830
2.838656, 0.077293, 0.013226
2.863659, 0.074195, 0.012678
2.888708, 0.070907, 0.012187
2.913804, 0.067488, 0.011755
2.938946, 0.063994, 0.011379
2.964135, 0.060482, 0.011056
2.989371, 0.057003, 0.010780
3.014654, 0.053604, 0.010542
3.039985, 0.050325, 0.010331
3.065362, 0.047202, 0.010133
3.090787, 0.044266, 0.009935
3.116260, 0.041545, 0.009725
3.141780, 0.039060, 0.009498
3.167348, 0.036830, 0.009256
3.192965, 0.034862, 0.009007
3.218629, 0.033157, 0.008765
3.244341, 0.031709, 0.008542
3.270102, 0.030504, 0.008349
3.295911, 0.029528, 0.008192
3.321769, 0.028763, 0.008074
3.347676, 0.028192, 0.007996
3.373632, 0.027799, 0.007957
3.399636, 0.027569, 0.007956
3.425690, 0.027488, 0.007991
3.451793, 0.027543, 0.008060
3.477946, 0.027722, 0.008163
3.504149, 0.028014, 0.008297
3.530401, 0.028413, 0.008463
3.556703, 0.028914, 0.008659
3.583055, 0.029515, 0.008887
3.609457, 0.030216, 0.009146
3.635910, 0.031018, 0.009437
3.662413, 0.031929, 0.009763
3.688966, 0.032952, 0.010127
3.715571, 0.034099, 0.010530
3.742226, 0.035377, 0.010976
3.768933, 0.036799, 0.011470
3.795690, 0.038374, 0.012014
3.822499, 0.040112, 0.012609
3.849360, 0.042013, 0.013256
3.876272, 0.044072, 0.013951
3.903236, 0.046274, 0.014688
3.930252, 0.048595, 0.015459
3.957320, 0.051007, 0.016253
3.984440, 0.053479, 0.017061
4.011613, 0.055983, 0.017873
4.038838, 0.058497, 0.018683
4.066116, 0.061002, 0.019487
4.093446, 0.063483, 0.020284
4.120830, 0.065930, 0.021074
4.148267, 0.068334, 0.021859
4.175757, 0.070688, 0.022641
4.203301, 0.072985, 0.023423
4.230898, 0.075221, 0.024207
4.258550, 0.077393, 0.024996
4.286255, 0.079500, 0.025791
4.314014, 0.081545, 0.026594
4.341827, 0.083531, 0.027407
4.369695, 0.085462, 0.028230
4.397618, 0.087338, 0.029060
4.425595, 0.089148, 0.029893
4.453627, 0.090878, 0.030718
4.481714, 0.092510, 0.031522
4.509857, 0.094032, 0.032294
4.538054, 0.095441, 0.033020
4.566308, 0.096740, 0.033691
4.594617, 0.097940, 0.034303
4.622982, 0.099058, 0.034855
4.651403, 0.100108, 0.035351
4.679880, 0.101103, 0.035795
4.708414, 0.102054, 0.036195
4.737004, 0.102965, 0.036556
4.765651, 0.103842, 0.036886
4.794355, 0.104696, 0.037192
4.823116, 0.105541, 0.037483
4.851934, 0.106392, 0.037770
4.880809, 0.107269, 0.038064
4.909742, 0.108187, 0.038375
4.938733, 0.109162, 0.038709
4.967782, 0.110208, 0.039071
4.996889, 0.111342, 0.039461
5.026054, 0.112579, 0.039879
5.055277, 0.113934, 0.040325
5.084559, 0.115424, 0.040798
5.113900, 0.117065, 0.041300
5.143300, 0.118872, 0.041833
5.172759, 0.120853, 0.042402
5.202277, 0.123006, 0.043014
5.231855, 0.125309, 0.043675
5.261493, 0.127726, 0.044390
5.291190, 0.130209, 0.045160
5.320948, 0.132708, 0.045987
5.350766, 0.135181, 0.046871
5.380644, 0.137598, 0.047815
5.410582, 0.139942, 0.048824
5.440582, 0.142207, 0.049905
5.470642, 0.144400, 0.051069
5.500764, 0.146535, 0.052331
5.530947, 0.148633, 0.053709
5.561191, 0.150720, 0.055218
5.591498, 0.152820, 0.056873
5.621866, 0.154946, 0.058677
5.652296, 0.157103, 0.060624
5.682789, 0.159282, 0.062692
5.713343, 0.161472, 0.064849
5.743961, 0.163660, 0.067056
5.774642, 0.165839, 0.069268
5.805385, 0.167997, 0.071443
5.836192, 0.170122, 0.073545
5.867062, 0.172193, 0.075555
5.897996, 0.174183, 0.077472
5.928994, 0.176069, 0.079313
5.960056, 0.177836, 0.081108
5.991182, 0.179487, 0.082890
6.022372, 0.181048, 0.084692
6.053627, 0.182570, 0.086540
6.084947, 0.184123, 0.088455
6.116332, 0.185796, 0.090443
6.147782, 0.187703, 0.092494
6.179298, 0.189972, 0.094582
6.210879, 0.192732, 0.096668
6.242527, 0.196079, 0.098711
6.274240, 0.200057, 0.100677
6.306019, 0.204652, 0.102547
6.337865, 0.209807, 0.104326
6.369778, 0.215452, 0.106040
6.401758, 0.221539, 0.107731
6.433804, 0.228060, 0.109446
6.465918, 0.235059, 0.111235
6.498100, 0.242607, 0.113145
6.530349, 0.250788, 0.115215
6.562666, 0.259676, 0.117476
6.595052, 0.269345, 0.119926
6.627505, 0.279879, 0.122531
6.660028, 0.291405, 0.125205
6.692619, 0.304110, 0.127818
6.725279, 0.318249, 0.130204
6.758009, 0.334113, 0.132179
6.790808, 0.351961, 0.133563
6.823676, 0.371941, 0.134204
6.856615, 0.394024, 0.134006
6.889624, 0.417989, 0.132934
6.922703, 0.443461, 0.131028
6.955853, 0.469955, 0.128385
6.989073, 0.496912, 0.125150
7.022365, 0.523681, 0.121484
7.055728, 0.549457, 0.117532
7.089162, 0.573256, 0.113409
7.122668, 0.593988, 0.109200
7.156246, 0.610630, 0.104985
7.189897, 0.622446, 0.100849
7.223619, 0.629163, 0.096885
7.257415, 0.631048, 0.093186
7.291283, 0.628863, 0.089835
7.325225, 0.623703, 0.086894
7.359239, 0.616790, 0.084395
7.393328, 0.609270, 0.082337
7.427490, 0.602085, 0.080685
7.461727, 0.595916, 0.079384
7.496037, 0.591207, 0.078368
7.530423, 0.588235, 0.077575
7.564883, 0.587190, 0.076960
7.599418, 0.588226, 0.076495
7.634029, 0.591451, 0.076168
7.668715, 0.596908, 0.075974
7.703477, 0.604558, 0.075917
7.738314, 0.614272, 0.076000
7.773229, 0.625860, 0.076223
7.808220, 0.639148, 0.076583
7.843287, 0.654091, 0.077074
7.878432, 0.670846, 0.077701
7.913654, 0.689760, 0.078475
7.948953, 0.711283, 0.079413
7.984331, 0.735915, 0.080539
8.019786, 0.764203, 0.081882
8.055320, 0.796707, 0.083482
8.090933, 0.833882, 0.085386
8.126624, 0.875830, 0.087654
8.162394, 0.921941, 0.090357
8.198244, 0.970395, 0.093571
8.234174, 1.017707, 0.097366
8.270183, 1.058628, 0.101784
8.306273, 1.086797, 0.106820
8.342443, 1.096313, 0.112402
8.378694, 1.083754, 0.118380
8.415025, 1.049516, 0.124546
8.451438, 0.997587, 0.130657
8.487933, 0.933945, 0.136466
8.524509, 0.864669, 0.141749
8.561168, 0.794658, 0.146325
8.597909, 0.727205, 0.150072
8.634732, 0.664224, 0.152949
8.671639, 0.606714, 0.155011
8.708629, 0.555119, 0.156412
8.745702, 0.509489, 0.157399
8.782859, 0.469534, 0.158267
8.820100, 0.434717, 0.159310
8.857425, 0.404391, 0.160764
8.894835, 0.377920, 0.162801
8.932330, 0.354745, 0.165530
8.969910, 0.334373, 0.169018
9.007575, 0.316347, 0.173273
9.045327, 0.300213, 0.178208
9.083164, 0.285544, 0.183615
9.121088, 0.271990, 0.189188
9.159098, 0.259321, 0.194628
9.197196, 0.247416, 0.199766
9.235380, 0.236207, 0.204606
9.273653, 0.225629, 0.209276
9.312013, 0.215603, 0.213952
9.350461, 0.206066, 0.218819
9.388998, 0.196987, 0.224061
9.427624, 0.188364, 0.229858
9.466338, 0.180199, 0.236387
9.505142, 0.172478, 0.243832
9.544036, 0.165181, 0.252399
9.583020, 0.158283, 0.262306
9.622094, 0.151759, 0.273755
9.661259, 0.145589, 0.286910
9.700515, 0.139778, 0.301920
9.739862, 0.134357, 0.318922
9.779300, 0.129353, 0.337961
9.818831, 0.124754, 0.358809
9.858454, 0.120522, 0.380705
9.898169, 0.116624, 0.402069
9.937977, 0.113048, 0.420349
9.977879, 0.109799, 0.432400
10.017874, 0.106879, 0.435502
10.057963, 0.104287, 0.428469
10.098146, 0.102009, 0.412061
10.138423, 0.100018, 0.388561
10.178796, 0.098281, 0.360929
10.219264, 0.096757, 0.331983
10.259827, 0.095413, 0.303841
10.300486, 0.094223, 0.277762
10.341241, 0.093183, 0.254306
10.382093, 0.092305, 0.233614
10.423042, 0.091593, 0.215584
10.464088, 0.091032, 0.199957
10.505232, 0.090591, 0.186397
10.546473, 0.090245, 0.174589
10.587813, 0.089987, 0.164293
10.629252, 0.089820, 0.155335
10.670789, 0.089742, 0.147550
10.712426, 0.089752, 0.140771
10.754163, 0.089860, 0.134856
10.796000, 0.090095, 0.129716
10.837937, 0.090482, 0.125309
10.879975, 0.091019, 0.121596
10.922114, 0.091676, 0.118511
10.964355, 0.092402, 0.115958
11.006697, 0.093155, 0.113831
11.049142, 0.093921, 0.112044
11.091689, 0.094721, 0.110551
11.134340, 0.095584, 0.109330
11.177094, 0.096517, 0.108345
11.219951, 0.097500, 0.107546
11.262913, 0.098514, 0.106884
11.305979, 0.099558, 0.106329
11.349150, 0.100640, 0.105869
11.392427, 0.101768, 0.105497
11.435809, 0.102944, 0.105208
11.479297, 0.104158, 0.104989
11.522892, 0.105397, 0.104818
11.566593, 0.106641, 0.104674
