# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000129, 0.000042
0.040066, 0.000259, 0.000085
0.060149, 0.000389, 0.000127
0.080266, 0.000520, 0.000170
0.100416, 0.000651, 0.000213
0.120599, 0.000784, 0.000256
0.140817, 0.000917, 0.000300
0.161067, 0.001051, 0.000343
0.181352, 0.001186, 0.000388
0.201671, 0.001322, 0.000432
0.222023, 0.001460, 0.000477
0.242410, 0.001600, 0.000522
0.262831, 0.001741, 0.000568
0.283286, 0.001884, 0.000614
0.303775, 0.002029, 0.000661
0.324299, 0.002176, 0.000709
0.344857, 0.002325, 0.000757
0.365449, 0.002477, 0.000806
0.386077, 0.002632, 0.000855
0.406739, 0.002790, 0.000906
0.427436, 0.002951, 0.000958
0.448168, 0.003115, 0.001010
0.468935, 0.003283, 0.001064
0.489737, 0.003455, 0.001118
0.510574, 0.003631, 0.001174
0.531447, 0.003812, 0.001231
0.552355, 0.003997, 0.001290
0.573298, 0.004188, 0.001350
0.594277, 0.004384, 0.001412
0.615292, 0.004587, 0.001476
0.636342, 0.004796, 0.001541
0.657428, 0.005012, 0.001609
0.678550, 0.005235, 0.001679
0.699708, 0.005467, 0.001751
0.720903, 0.005708, 0.001826
0.742133, 0.005958, 0.001904
0.763400, 0.006219, 0.001985
0.784703, 0.006491, 0.002069
0.806042, 0.006776, 0.002157
0.827418, 0.007074, 0.002249
0.848831, 0.007387, 0.002345
0.870280, 0.007716, 0.002447
0.891767, 0.008062, 0.002554
0.913290, 0.008429, 0.002666
0.934850, 0.008817, 0.002786
0.956448, 0.009229, 0.002912
0.978083, 0.009667, 0.003047
0.999755, 0.010134, 0.003191
1.021464, 0.010634, 0.003345
1.043211, 0.011170, 0.003510
1.064996, 0.011746, 0.003688
1.086818, 0.012365, 0.003880
1.108678, 0.013033, 0.004088
1.130576, 0.013753, 0.004313
1.152512, 0.014529, 0.004558
1.174487, 0.015366, 0.004825
1.196499, 0.016269, 0.005115
1.218550, 0.017241, 0.005432
1.240639, 0.018286, 0.005777
1.262767, 0.019410, 0.006153
1.284933, 0.020616, 0.006561
1.307138, 0.021910, 0.007005
1.329382, 0.023297, 0.007485
1.351664, 0.024784, 0.008002
1.373986, 0.026377, 0.008556
1.396347, 0.028082, 0.009148
1.418747, 0.029906, 0.009777
1.441186, 0.031855, 0.010440
1.463665, 0.033932, 0.011134
1.486184, 0.036140, 0.011857
1.508742, 0.038477, 0.012604
1.531339, 0.040940, 0.013368
