# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000120, 0.000116
0.040066, 0.000241, 0.000233
0.060149, 0.000362, 0.000349
0.080266, 0.000484, 0.000467
0.100416, 0.000606, 0.000584
0.120599, 0.000729, 0.000703
0.140817, 0.000852, 0.000822
0.161067, 0.000977, 0.000942
0.181352, 0.001103, 0.001064
0.201671, 0.001230, 0.001186
0.222023, 0.001358, 0.001310
0.242410, 0.001488, 0.001435
0.262831, 0.001619, 0.001561
0.283286, 0.001752, 0.001689
0.303775, 0.001887, 0.001819
0.324299, 0.002024, 0.001951
0.344857, 0.002163, 0.002085
0.365449, 0.002305, 0.002222
0.386077, 0.002449, 0.002361
0.406739, 0.002597, 0.002502
0.427436, 0.002747, 0.002647
0.448168, 0.002900, 0.002795
0.468935, 0.003058, 0.002946
0.489737, 0.003219, 0.003101
0.510574, 0.003385, 0.003260
0.531447, 0.003555, 0.003423
0.552355, 0.003730, 0.003591
0.573298, 0.003911, 0.003765
0.594277, 0.004097, 0.003944
0.615292, 0.004290, 0.004129
0.636342, 0.004490, 0.004321
0.657428, 0.004698, 0.004520
0.678550, 0.004915, 0.004727
0.699708, 0.005141, 0.004943
0.720903, 0.005377, 0.005169
0.742133, 0.005624, 0.005406
0.763400, 0.005884, 0.005655
0.784703, 0.006159, 0.005917
0.806042, 0.006448, 0.006194
0.827418, 0.006755, 0.006488
0.848831, 0.007082, 0.006799
0.870280, 0.007430, 0.007132
0.891767, 0.007802, 0.007487
0.913290, 0.008201, 0.007868
0.934850, 0.008629, 0.008276
0.956448, 0.009090, 0.008716
0.978083, 0.009586, 0.009188
0.999755, 0.010118, 0.009696
1.021464, 0.010689, 0.010240
1.043211, 0.011300, 0.010822
1.064996, 0.011948, 0.011440
1.086818, 0.012634, 0.012092
1.108678, 0.013354, 0.012777
1.130576, 0.014105, 0.013492
1.152512, 0.014885, 0.014233
1.174487, 0.015690, 0.014997
1.196499, 0.016517, 0.015782
1.218550, 0.017364, 0.016586
1.240639, 0.018229, 0.017407
1.262767, 0.019112, 0.018245
1.284933, 0.020012, 0.019099
1.307138, 0.020931, 0.019972
1.329382, 0.021871, 0.020866
1.351664, 0.022837, 0.021785
1.373986, 0.023836, 0.022737
1.396347, 0.024876, 0.023729
1.418747, 0.025967, 0.024770
1.441186, 0.027118, 0.025870
1.463665, 0.028340, 0.027037
1.486184, 0.029639, 0.028278
1.508742, 0.031019, 0.029595
1.531339, 0.032480, 0.030989
1.553977, 0.034017, 0.032453
1.576655, 0.035619, 0.033977
1.599372, 0.037270, 0.035547
1.622130, 0.038953, 0.037144
1.644928, 0.040647, 0.038750
1.667767, 0.042335, 0.040345
1.690646, 0.043999, 0.041915
1.713565, 0.045629, 0.043446
1.736525, 0.047221, 0.044936
1.759526, 0.048781, 0.046385
1.782568, 0.050320, 0.047806
1.805651, 0.051856, 0.049212
1.828776, 0.053408, 0.050624
1.851941, 0.054994, 0.052060
1.875148, 0.056630, 0.053535
1.898396, 0.058320, 0.055058
1.921686, 0.060062, 0.056630
1.945017, 0.061843, 0.058240
1.968391, 0.063646, 0.059875
1.991806, 0.065451, 0.061515
2.015263, 0.067244, 0.063147
2.038763, 0.069020, 0.064760
2.062305, 0.070789, 0.066358
2.085889, 0.072571, 0.067955
2.109515, 0.074401, 0.069576
2.133184, 0.076318, 0.071253
2.156896, 0.078364, 0.073019
2.180651, 0.080579, 0.074908
2.204449, 0.082997, 0.076950
2.228289, 0.085647, 0.079169
2.252173, 0.088553, 0.081585
2.276101, 0.091732, 0.084214
2.300071, 0.095196, 0.087065
2.324086, 0.098951, 0.090146
2.348143, 0.102997, 0.093461
2.372245, 0.107337, 0.097015
2.396391, 0.111970, 0.100813
2.420580, 0.116902, 0.104867
2.444814, 0.122140, 0.109194
2.469092, 0.127691, 0.113818
2.493414, 0.133560, 0.118762
2.517781, 0.139741, 0.124051
2.542192, 0.146211, 0.129703
2.566649, 0.152913, 0.135718
2.591150, 0.159750, 0.142070
2.615696, 0.166568, 0.148696
2.640287, 0.173150, 0.155482
2.664923, 0.179215, 0.162255
2.689605, 0.184426, 0.168774
2.714332, 0.188412, 0.174732
2.739105, 0.190804, 0.179764
2.763924, 0.191279, 0.183473
2.788789, 0.189611, 0.185464
2.813699, 0.185714, 0.185402
2.838656, 0.179672, 0.183069
2.863659, 0.171733, 0.178417
2.888708, 0.162283, 0.171594
2.913804, 0.151791, 0.162937
2.938946, 0.140748, 0.152919
2.964135, 0.129612, 0.142080
2.989371, 0.118764, 0.130946
3.014654, 0.108493, 0.119976
3.039985, 0.098993, 0.109522
3.065362, 0.090370, 0.099824
3.090787, 0.082667, 0.091021
3.116260, 0.075875, 0.083170
3.141780, 0.069950, 0.076268
3.167348, 0.064833, 0.070272
3.192965, 0.060453, 0.065117
3.218629, 0.056737, 0.060728
3.244341, 0.053619, 0.057029
3.270102, 0.051035, 0.053947
3.295911, 0.048934, 0.051417
3.321769, 0.047266, 0.049382
3.347676, 0.045992, 0.047791
3.373632, 0.045073, 0.046598
3.399636, 0.044471, 0.045758
3.425690, 0.044146, 0.045227
3.451793, 0.044056, 0.044958
3.477946, 0.044158, 0.044905
3.504149, 0.044409, 0.045022
3.530401, 0.044769, 0.045268
3.556703, 0.045206, 0.045608
3.583055, 0.045697, 0.046019
3.609457, 0.046231, 0.046486
3.635910, 0.046804, 0.047005
3.662413, 0.047422, 0.047578
3.688966, 0.048091, 0.048211
3.715571, 0.048823, 0.048914
3.742226, 0.049629, 0.049696
3.768933, 0.050520, 0.050569
3.795690, 0.051510, 0.051543
3.822499, 0.052607, 0.052627
3.849360, 0.053822, 0.053831
3.876272, 0.055164, 0.055163
3.903236, 0.056643, 0.056632
3.930252, 0.058264, 0.058243
3.957320, 0.060032, 0.060000
3.984440, 0.061946, 0.061902
4.011613, 0.063999, 0.063941
4.038838, 0.066174, 0.066101
4.066116, 0.068445, 0.068353
4.093446, 0.070771, 0.070657
4.120830, 0.073104, 0.072965
4.148267, 0.075393, 0.075225
4.175757, 0.077592, 0.077392
4.203301, 0.079663, 0.079427
4.230898, 0.081580, 0.081303
4.258550, 0.083331, 0.083008
4.286255, 0.084920, 0.084544
4.314014, 0.086366, 0.085929
4.341827, 0.087698, 0.087190
